,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,2290.7,G,37.52694444,-103.76944444,20080609,20080628,8071.0,20080625,217.0,42.0,133.0,0.0,0.8487589,66.667
1,2290.7,G,37.52694444,-103.76944444,20080609,20080628,8071.0,20080624,208.0,32.0,110.0,0.0,0.57245976,66.667
2,2290.7,G,37.52694444,-103.76944444,20080609,20080628,8071.0,20080614,203.0,42.0,126.0,0.0,0.96177316,71.0
4,2290.7,G,37.52694444,-103.76944444,20080609,20080628,8071.0,20080622,202.0,34.0,104.0,25.0,2.1249297,66.667
5,2290.7,G,37.52694444,-103.76944444,20080609,20080628,8071.0,20080610,196.0,3.0,118.0,0.0,3.0386405,71.0
6,0.5,B,37.5716667,-103.646667,20100607,20100608,8071.0,20100608,219.0,62.0,149.0,0.0,1.8005044,171.0
7,0.1,A,37.27194444,-103.34972222,20080623,20080623,8071.0,20080623,197.0,46.0,107.0,0.0,1.5201344,66.667
9,2290.7,G,37.52694444,-103.76944444,20080609,20080628,8071.0,20080623,197.0,46.0,107.0,0.0,1.5201344,66.667
10,0.5,B,37.5716667,-103.646667,20100607,20100608,8071.0,20100607,232.0,64.0,134.0,25.0,3.4932723,173.0
11,2290.7,G,37.52694444,-103.76944444,20080609,20080628,8071.0,20080615,217.0,37.0,134.0,0.0,2.9064243,71.0
12,2290.7,G,37.52694444,-103.76944444,20080609,20080628,8071.0,20080621,163.0,33.0,96.0,0.0,1.4945937,66.667
13,2290.7,G,37.52694444,-103.76944444,20080609,20080628,8071.0,20080618,219.0,38.0,129.0,0.0,1.3305669,71.0
14,2290.7,G,37.52694444,-103.76944444,20080609,20080628,8071.0,20080612,143.0,-2.0,75.0,0.0,3.5737052000000005,71.0
15,2290.7,G,37.52694444,-103.76944444,20080609,20080628,8071.0,20080619,207.0,41.0,113.0,0.0,1.073359,71.0
17,2290.7,G,37.52694444,-103.76944444,20080609,20080628,8071.0,20080620,202.0,39.0,111.0,0.0,1.6977888,66.667
18,2290.7,G,37.52694444,-103.76944444,20080609,20080628,8071.0,20080611,160.0,33.0,102.0,0.0,4.9738593,71.0
20,2290.7,G,37.52694444,-103.76944444,20080609,20080628,8071.0,20080627,219.0,72.0,149.0,0.0,1.9780071,66.667
22,2290.7,G,37.52694444,-103.76944444,20080609,20080628,8071.0,20080613,173.0,-12.0,85.0,0.0,1.3536546,71.0
23,613.5,F,37.66638889,-103.74055556,20080414,20080415,8071.0,20080414,119.0,-11.0,56.0,0.0,3.2237387,160.0
24,613.5,F,37.66638889,-103.74055556,20080414,20080415,8071.0,20080415,130.0,32.0,74.0,25.0,5.050098,160.0
25,2290.7,G,37.52694444,-103.76944444,20080609,20080628,8071.0,20080626,219.0,61.0,142.0,0.0,1.8726665,66.667
26,2290.7,G,37.52694444,-103.76944444,20080609,20080628,8071.0,20080616,211.0,46.0,113.0,0.0,1.0376861,71.0
27,2290.7,G,37.52694444,-103.76944444,20080609,20080628,8071.0,20080617,212.0,38.0,123.0,0.0,0.6824899,71.0
28,2290.7,G,37.52694444,-103.76944444,20080609,20080628,8071.0,20080628,178.0,40.0,86.0,279.0,2.6935616,66.667
31,2290.7,G,37.52694444,-103.76944444,20080609,20080628,8071.0,20080609,154.0,-10.0,74.0,0.0,2.2077115000000003,71.0
