,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
772,0.0333333333333333,A,40.6622,-108.599,20030718,20030720,8081.0,20030718,350.0,133.0,244.0,0.0,0.963844,68.167
775,0.05,A,37.5811,-109.0362,20020830,20020831,8081.0,20020830,267.0,39.0,156.0,0.0,3.3233962,89.0
780,132.38,E,40.2516,-108.2401,20000719,20000723,8081.0,20000719,328.0,94.0,211.0,0.0,1.3753554,87.667
782,10.0,C,40.5111,-108.7382,20000717,20000718,8081.0,20000717,322.0,128.0,228.0,0.0,2.7526894,87.667
784,0.0666666666666666,A,40.3569,-108.4776,20041006,20041008,8081.0,20041007,200.0,-17.0,94.0,0.0,2.704161,74.125
785,0.08,B,40.8794,-108.9221,20030718,20030811,8081.0,20030718,350.0,133.0,244.0,0.0,0.963844,68.167
788,0.1,A,40.6511,-108.4726,20050903,20050903,8081.0,20050903,328.0,83.0,206.0,0.0,2.4942608,83.571
789,0.15,B,40.6675,-108.5251,20030719,20030720,8081.0,20030719,350.0,167.0,261.0,23.0,0.88814765,65.8
790,0.05,A,40.7025,-108.6565,20030718,20030719,8081.0,20030718,350.0,133.0,244.0,0.0,0.963844,68.167
794,355.8709677419355,G,40.6772,-108.9173,20000703,20000802,8081.0,20000719,328.0,94.0,211.0,0.0,1.3753554,87.667
797,29.99,E,40.5414,-108.3932,20020821,20020909,8081.0,20020904,294.0,50.0,172.0,0.0,3.0348637000000003,89.0
800,0.5,B,40.2319,-108.9798,20030719,20030719,8081.0,20030719,350.0,167.0,261.0,23.0,0.88814765,65.8
803,0.3,B,40.635,-108.4465,20030719,20030719,8081.0,20030719,350.0,167.0,261.0,23.0,0.88814765,65.8
816,0.1,A,40.6341,-108.4832,20050903,20050903,8081.0,20050903,328.0,83.0,206.0,0.0,2.4942608,83.571
818,0.1,A,40.71,-108.7348,19990627,19990627,8081.0,19990627,294.0,67.0,183.0,0.0,4.1557856,98.333
820,0.1,A,40.3505,-107.7351,20050825,20050825,8081.0,20050825,328.0,83.0,206.0,0.0,3.2705388,83.571
823,0.1,A,40.5175,-108.0023,20020908,20020908,8081.0,20020908,228.0,83.0,156.0,5.0,2.7577121,89.0
825,0.0583333333333333,A,40.625,-108.619,20030718,20030721,8081.0,20030718,350.0,133.0,244.0,0.0,0.963844,68.167
826,0.05,A,40.5852,-108.2073,20000803,20000804,8081.0,20000804,333.0,139.0,239.0,23.0,3.0400743,81.0
