,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0.3333333333333333,B,38.0401,-105.0147,20140531,20140602,8101.0,20140531,317.0,111.0,197.0,0.0,1.300157,53.714
1,0.3333333333333333,B,38.0401,-105.0147,20140531,20140602,8101.0,20140602,306.0,161.0,229.0,0.0,1.059483,53.714
2,2.2,B,38.12361111,-105.01611111,20151104,20151104,8101.0,20151104,244.0,50.0,152.0,0.0,5.638484,61.571
3,0.3333333333333333,B,38.0401,-105.0147,20140531,20140602,8101.0,20140601,339.0,133.0,233.0,0.0,2.8022285,53.714
7,0.025,A,39.7644,-108.6845,20030525,20030528,8101.0,20030525,256.0,122.0,189.0,51.0,2.9342396,30.0
8,0.0111111111111111,A,37.947,-105.0008,20030821,20030829,8101.0,20030822,378.0,144.0,261.0,0.0,2.9353693,15.0
9,2.0,B,38.120803,-105.9,20130608,20130610,8101.0,20130610,394.0,128.0,264.0,0.0,2.8468254,39.143
11,0.025,A,39.7644,-108.6845,20030525,20030528,8101.0,20030528,322.0,161.0,244.0,0.0,0.7632165,65.6
16,0.26,B,38.16277778,-105.01972222,20130614,20130615,8101.0,20130614,344.0,178.0,277.0,0.0,3.2322490000000004,39.143
19,0.0333333333333333,A,40.1952,-108.294,20030531,20030602,8101.0,20030531,239.0,150.0,194.0,0.0,2.3315477,65.6
20,0.05,A,39.9377,-108.9957,20030815,20030816,8101.0,20030815,339.0,111.0,228.0,0.0,3.9187934,15.0
22,0.1,A,37.96666667,-105.01666667,20010706,20010706,8101.0,20010706,394.0,156.0,278.0,0.0,3.0161824,45.333
23,2.0,B,38.120803,-105.9,20130608,20130610,8101.0,20130609,328.0,94.0,194.0,0.0,1.6172186000000002,39.143
26,0.05,A,39.9377,-108.9957,20030815,20030816,8101.0,20030816,344.0,117.0,233.0,0.0,3.6341856,15.0
29,0.025,A,39.7644,-108.6845,20030525,20030528,8101.0,20030526,256.0,117.0,189.0,0.0,1.6807473999999998,30.0
34,0.0111111111111111,A,37.947,-105.0008,20030821,20030829,8101.0,20030826,333.0,167.0,250.0,0.0,1.0770307,15.0
35,0.1,A,40.1972,-108.7365,20020829,20020829,8101.0,20020829,311.0,117.0,217.0,10.0,2.1833177000000004,80.0
36,0.0111111111111111,A,37.947,-105.0008,20030821,20030829,8101.0,20030827,350.0,128.0,239.0,0.0,1.789105,15.0
37,2.0,B,38.120803,-105.9,20130608,20130610,8101.0,20130608,317.0,106.0,217.0,36.0,1.6196905,39.143
38,0.0111111111111111,A,37.947,-105.0008,20030821,20030829,8101.0,20030825,344.0,144.0,244.0,15.0,0.87595797,15.0
41,0.025,A,39.7644,-108.6845,20030525,20030528,8101.0,20030527,317.0,106.0,211.0,0.0,1.4102925,30.0
47,0.0111111111111111,A,37.947,-105.0008,20030821,20030829,8101.0,20030828,289.0,156.0,222.0,23.0,1.0606601,15.0
48,0.1,A,39.873,-108.8137,20030616,20030616,8101.0,20030616,306.0,139.0,222.0,36.0,2.243977,65.6
51,0.0111111111111111,A,37.947,-105.0008,20030821,20030829,8101.0,20030829,283.0,128.0,206.0,81.0,1.6620765,15.0
53,0.05,A,39.9386,-108.3418,20030530,20030531,8101.0,20030531,239.0,150.0,194.0,0.0,2.3315477,65.6
54,0.05,A,39.9386,-108.3418,20030530,20030531,8101.0,20030530,361.0,161.0,261.0,76.0,0.6774263,65.6
58,0.0111111111111111,A,37.947,-105.0008,20030821,20030829,8101.0,20030823,361.0,128.0,244.0,0.0,2.5005,15.0
59,0.0333333333333333,A,40.1952,-108.294,20030531,20030602,8101.0,20030601,278.0,122.0,200.0,69.0,1.6763113,65.6
61,0.0333333333333333,A,40.1952,-108.294,20030531,20030602,8101.0,20030602,267.0,117.0,194.0,0.0,1.1230805,65.6
63,0.0111111111111111,A,37.947,-105.0008,20030821,20030829,8101.0,20030821,383.0,150.0,267.0,0.0,1.1240083,15.0
64,0.1,A,39.8808,-108.2501,20030529,20030529,8101.0,20030529,383.0,128.0,256.0,0.0,2.424642,65.6
65,0.26,B,38.16277778,-105.01972222,20130614,20130615,8101.0,20130615,339.0,133.0,237.0,0.0,2.4300163,39.143
69,0.1,A,37.98206,-105.02417,20010801,20010801,8101.0,20010801,344.0,161.0,256.0,64.0,1.9536855,137.5
70,0.0111111111111111,A,37.947,-105.0008,20030821,20030829,8101.0,20030824,350.0,133.0,244.0,0.0,1.5170101,15.0
