,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0.0066666666666666,A,37.44222,-106.23556,20150701,20150715,8105.0,20150705,165.0,71.0,106.0,0.0,2.4378524,98.75
2,0.1,A,37.65027778,-106.63333333,20130709,20130709,8105.0,20130709,194.0,86.0,128.0,0.0,0.73163676,72.0
3,0.0066666666666666,A,37.44222,-106.23556,20150701,20150715,8105.0,20150708,124.0,43.0,72.0,25.0,1.2502499,97.75
4,0.1,A,37.88277778,-106.95944444,20150822,20150822,8105.0,20150822,166.0,60.0,101.0,25.0,3.9847364,56.75
5,0.1,A,37.8116667,-106.737222,20100605,20100605,8105.0,20100605,205.0,57.0,130.0,0.0,3.2672498,38.25
6,0.1,A,37.51666667,-106.53333333,20130622,20130622,8105.0,20130622,147.0,60.0,105.0,0.0,3.1531768,51.333
7,0.0066666666666666,A,37.44222,-106.23556,20150701,20150715,8105.0,20150701,211.0,69.0,115.0,51.0,0.56180507,98.75
8,0.0066666666666666,A,37.44222,-106.23556,20150701,20150715,8105.0,20150712,154.0,68.0,98.0,0.0,2.0931435,97.75
9,0.1,A,37.70027778,-106.81666667,20130711,20130711,8105.0,20130711,173.0,77.0,116.0,51.0,2.0530274,72.0
10,0.0066666666666666,A,37.44222,-106.23556,20150701,20150715,8105.0,20150706,167.0,54.0,88.0,51.0,1.5508063,98.75
11,0.1,A,37.51694444,-106.51666667,20130716,20130716,8105.0,20130716,144.0,27.0,81.0,0.0,2.0850492,101.25
12,0.0066666666666666,A,37.44222,-106.23556,20150701,20150715,8105.0,20150702,174.0,64.0,104.0,76.0,1.2010412,98.75
13,0.4,B,37.82694444,-106.39722222,20150620,20150620,8105.0,20150620,223.0,54.0,134.0,0.0,1.8910974,59.5
15,0.0066666666666666,A,37.44222,-106.23556,20150701,20150715,8105.0,20150711,153.0,52.0,96.0,0.0,2.1613073,97.75
16,0.0066666666666666,A,37.44222,-106.23556,20150701,20150715,8105.0,20150703,154.0,56.0,92.0,51.0,1.4916433,98.75
17,0.1,A,37.64289,-106.288,20120713,20120713,8105.0,20120713,138.0,82.0,107.0,0.0,1.1085594,90.25
18,0.5,B,37.64138889,-106.6675,20120622,20120622,8105.0,20120622,196.0,89.0,141.0,0.0,3.7481885,66.0
19,0.1,A,37.64194444,-106.62166667,20140907,20140907,8105.0,20140907,149.0,47.0,86.0,0.0,1.6058979,76.75
20,0.0066666666666666,A,37.44222,-106.23556,20150701,20150715,8105.0,20150707,110.0,49.0,67.0,203.0,1.6387876,97.75
21,0.1,A,37.66055556,-106.64055556,20120703,20120703,8105.0,20120703,186.0,65.0,107.0,76.0,0.44923055,70.75
23,0.0066666666666666,A,37.44222,-106.23556,20150701,20150715,8105.0,20150714,139.0,47.0,71.0,127.0,1.391492,97.75
24,0.1,A,37.66111111,-106.67888889,20130708,20130708,8105.0,20130708,180.0,62.0,114.0,25.0,1.5337551,72.0
25,0.0066666666666666,A,37.44222,-106.23556,20150701,20150715,8105.0,20150704,177.0,59.0,103.0,0.0,1.6547279,98.75
26,0.0066666666666666,A,37.44222,-106.23556,20150701,20150715,8105.0,20150710,120.0,46.0,78.0,25.0,2.1945956,97.75
27,0.1,A,37.483333,-106.389286,20130820,20130820,8105.0,20130820,195.0,69.0,114.0,25.0,1.114857,106.0
