,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0.2054794520547945,C,40.725,-106.72416667,20140722,20141002,8107.0,20140819,180.0,45.0,112.0,102.0,1.1494843,92.4
1,0.2054794520547945,C,40.725,-106.72416667,20140722,20141002,8107.0,20140806,200.0,68.0,121.0,0.0,1.9986067,95.556
2,0.1,A,40.49277778,-106.69444444,20130722,20130722,8107.0,20130722,275.0,112.0,197.0,0.0,2.0999587,94.214
3,0.01,A,40.05333333,-106.7425,20130905,20130905,8107.0,20130905,230.0,88.0,138.0,0.0,0.2555422,94.889
4,0.2054794520547945,C,40.725,-106.72416667,20140722,20141002,8107.0,20140919,218.0,79.0,142.0,0.0,1.822752,96.267
5,1.0,B,40.22333333,-107.03694444,20120618,20120618,8107.0,20120618,250.0,86.0,165.0,0.0,4.7478213,101.2
6,0.2054794520547945,C,40.725,-106.72416667,20140722,20141002,8107.0,20140922,148.0,74.0,93.0,25.0,2.4917629,96.267
7,0.2054794520547945,C,40.725,-106.72416667,20140722,20141002,8107.0,20140826,122.0,55.0,88.0,102.0,1.5337833,97.929
8,2.05,B,40.92666667,-106.89055556,20150626,20150627,8107.0,20150626,245.0,105.0,169.0,0.0,2.2273862,95.111
9,0.1,A,40.63972222,-106.87527778,20121002,20121002,8107.0,20121002,173.0,4.0,81.0,0.0,3.3771687000000004,85.6
10,0.2054794520547945,C,40.725,-106.72416667,20140722,20141002,8107.0,20140827,119.0,68.0,88.0,102.0,0.45541,97.929
11,0.2054794520547945,C,40.725,-106.72416667,20140722,20141002,8107.0,20140906,185.0,26.0,95.0,0.0,1.4058522,95.8
12,0.2054794520547945,C,40.725,-106.72416667,20140722,20141002,8107.0,20140920,215.0,23.0,127.0,0.0,2.1431043,96.267
13,2.05,B,40.92666667,-106.89055556,20150626,20150627,8107.0,20150627,255.0,107.0,181.0,0.0,0.6600189999999999,95.111
14,0.2054794520547945,C,40.725,-106.72416667,20140722,20141002,8107.0,20140921,168.0,58.0,110.0,25.0,2.5401797000000004,96.267
15,0.2054794520547945,C,40.725,-106.72416667,20140722,20141002,8107.0,20140724,219.0,110.0,166.0,0.0,4.6040626,92.4
16,0.2054794520547945,C,40.725,-106.72416667,20140722,20141002,8107.0,20140818,231.0,56.0,131.0,0.0,0.7539198,92.4
17,0.1,A,40.83972222,-106.99555556,20121024,20121024,8107.0,20121024,248.0,-113.0,-5.0,229.0,0.23194388,85.6
18,0.2054794520547945,C,40.725,-106.72416667,20140722,20141002,8107.0,20140907,196.0,75.0,117.0,0.0,2.0965197,95.8
19,0.1,A,40.77222222,-106.75805556,20120628,20120628,8107.0,20120628,243.0,134.0,191.0,0.0,2.9970944,98.6
20,0.2054794520547945,C,40.725,-106.72416667,20140722,20141002,8107.0,20140811,222.0,121.0,169.0,0.0,1.9167142,96.429
21,0.1,A,40.74777778,-106.83305556,20140501,20140501,8107.0,20140501,89.0,-117.0,1.0,0.0,2.4418213,102.462
22,0.2054794520547945,C,40.725,-106.72416667,20140722,20141002,8107.0,20140821,151.0,50.0,91.0,0.0,2.7721841,92.4
23,0.2054794520547945,C,40.725,-106.72416667,20140722,20141002,8107.0,20140820,114.0,52.0,76.0,76.0,3.1104574,92.4
24,0.2054794520547945,C,40.725,-106.72416667,20140722,20141002,8107.0,20140807,188.0,39.0,96.0,0.0,0.4933598,95.556
25,0.1,A,40.05694444,-107.01805556,20120625,20120625,8107.0,20120625,265.0,86.0,170.0,25.0,0.80709034,98.6
26,0.2054794520547945,C,40.725,-106.72416667,20140722,20141002,8107.0,20140803,217.0,140.0,175.0,0.0,0.9604228,95.556
27,0.1,A,40.61055556,-106.82472222,20121009,20121009,8107.0,20121009,130.0,40.0,79.0,0.0,2.3868027,85.6
28,0.2054794520547945,C,40.725,-106.72416667,20140722,20141002,8107.0,20140917,176.0,90.0,122.0,0.0,1.6807799,96.267
29,0.2054794520547945,C,40.725,-106.72416667,20140722,20141002,8107.0,20140812,252.0,106.0,166.0,0.0,1.1257975,96.429
30,0.2054794520547945,C,40.725,-106.72416667,20140722,20141002,8107.0,20140725,241.0,97.0,156.0,25.0,2.621228,92.4
31,0.2054794520547945,C,40.725,-106.72416667,20140722,20141002,8107.0,20140805,204.0,96.0,136.0,0.0,1.8057983,95.556
32,0.2,A,40.70722222,-106.83694444,20130811,20130811,8107.0,20130811,192.0,95.0,140.0,0.0,0.9340859,123.0
34,0.2054794520547945,C,40.725,-106.72416667,20140722,20141002,8107.0,20140912,138.0,-24.0,50.0,0.0,2.0299988,96.267
35,0.2054794520547945,C,40.725,-106.72416667,20140722,20141002,8107.0,20140911,141.0,-13.0,74.0,0.0,0.1526485,96.267
36,0.2054794520547945,C,40.725,-106.72416667,20140722,20141002,8107.0,20140728,201.0,104.0,133.0,0.0,1.4008893,92.4
37,0.1,A,40.76583333,-107.41305556,20130811,20130811,8107.0,20130811,192.0,95.0,140.0,0.0,0.9340859,123.0
39,0.1,A,40.52527778,-106.77,20120707,20120707,8107.0,20120707,142.0,78.0,102.0,0.0,1.9275094,103.0
40,2.8,B,40.5192,-107.3017,20140628,20140629,8107.0,20140628,116.0,25.0,66.0,25.0,4.3219633,87.857
41,0.2054794520547945,C,40.725,-106.72416667,20140722,20141002,8107.0,20140814,416.0,-36.0,103.0,229.0,1.622623,96.429
42,2.8,B,40.5192,-107.3017,20140628,20140629,8107.0,20140629,210.0,104.0,155.0,0.0,2.8640015,87.857
43,0.1,A,40.58666667,-106.86472222,20150814,20150814,8107.0,20150814,243.0,69.0,156.0,25.0,1.5231546,80.429
44,0.2054794520547945,C,40.725,-106.72416667,20140722,20141002,8107.0,20140817,186.0,95.0,137.0,0.0,1.6469336,92.4
45,0.2054794520547945,C,40.725,-106.72416667,20140722,20141002,8107.0,20140815,187.0,65.0,113.0,0.0,2.6500092,96.429
46,0.2054794520547945,C,40.725,-106.72416667,20140722,20141002,8107.0,20140910,156.0,40.0,94.0,0.0,2.412236,96.267
48,0.2054794520547945,C,40.725,-106.72416667,20140722,20141002,8107.0,20140825,177.0,52.0,103.0,152.0,1.8876712,92.4
49,0.2054794520547945,C,40.725,-106.72416667,20140722,20141002,8107.0,20140904,213.0,22.0,103.0,0.0,0.8699972,95.8
50,0.1,A,40.36138889,-106.72472222,20150921,20150921,8107.0,20150921,158.0,55.0,104.0,51.0,2.0554805,97.368
51,0.2054794520547945,C,40.725,-106.72416667,20140722,20141002,8107.0,20140730,144.0,96.0,109.0,152.0,1.7502571,92.4
52,0.2054794520547945,C,40.725,-106.72416667,20140722,20141002,8107.0,20140909,106.0,-17.0,83.0,178.0,2.6126306,95.8
53,0.2054794520547945,C,40.725,-106.72416667,20140722,20141002,8107.0,20140804,186.0,82.0,122.0,25.0,0.4304613000000001,95.556
54,0.2054794520547945,C,40.725,-106.72416667,20140722,20141002,8107.0,20140824,112.0,19.0,60.0,25.0,3.5794618,92.4
55,0.2054794520547945,C,40.725,-106.72416667,20140722,20141002,8107.0,20140801,204.0,84.0,138.0,51.0,1.5707965,94.4
56,0.2054794520547945,C,40.725,-106.72416667,20140722,20141002,8107.0,20140913,157.0,-45.0,113.0,0.0,1.7117209999999998,96.267
57,0.1,A,40.21583333,-107.03555556,20150514,20150514,8107.0,20150514,142.0,-6.0,53.0,51.0,2.8962262,102.231
