,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
3,0.00625,A,37.80638889,-107.77416667,20080623,20080708,8111.0,20080630,153.0,28.0,79.0,0.0,1.7304578999999998,11.0
4,0.00625,A,37.80638889,-107.77416667,20080623,20080708,8111.0,20080701,168.0,36.0,102.0,0.0,1.3038428,11.0
7,0.00625,A,37.80638889,-107.77416667,20080623,20080708,8111.0,20080629,210.0,38.0,114.0,0.0,1.3880926000000002,11.0
8,0.4,B,37.66472222,-107.67972222,20070520,20070520,8111.0,20070520,128.0,27.0,56.0,0.0,1.57003,118.667
11,0.00625,A,37.80638889,-107.77416667,20080623,20080708,8111.0,20080704,209.0,50.0,118.0,0.0,1.1844505,11.0
13,0.00625,A,37.80638889,-107.77416667,20080623,20080708,8111.0,20080628,214.0,85.0,143.0,0.0,2.6643062,11.0
15,0.0333333333333333,A,37.665,-107.75388889,20130711,20130713,8111.0,20130711,197.0,63.0,127.0,51.0,2.6606193,71.4
16,0.00625,A,37.80638889,-107.77416667,20080623,20080708,8111.0,20080627,214.0,22.0,117.0,0.0,3.1283429,96.0
19,0.00625,A,37.80638889,-107.77416667,20080623,20080708,8111.0,20080708,179.0,25.0,88.0,0.0,1.5014623,107.0
20,0.00625,A,37.80638889,-107.77416667,20080623,20080708,8111.0,20080702,254.0,69.0,129.0,229.0,1.7778931,11.0
23,0.00625,A,37.80638889,-107.77416667,20080623,20080708,8111.0,20080705,189.0,54.0,111.0,25.0,2.4221728,107.0
25,0.00625,A,37.80638889,-107.77416667,20080623,20080708,8111.0,20080624,176.0,26.0,93.0,0.0,1.9716251,4.0
27,0.00625,A,37.80638889,-107.77416667,20080623,20080708,8111.0,20080706,165.0,48.0,98.0,0.0,2.1200001,107.0
33,0.00625,A,37.80638889,-107.77416667,20080623,20080708,8111.0,20080707,176.0,47.0,104.0,0.0,1.9138638,107.0
34,0.1,A,38.3328,-106.7937,20030807,20030807,8111.0,20030807,186.0,55.0,103.0,0.0,1.630281,105.0
35,0.00625,A,37.80638889,-107.77416667,20080623,20080708,8111.0,20080703,189.0,49.0,113.0,0.0,0.9617676,11.0
38,0.00625,A,37.80638889,-107.77416667,20080623,20080708,8111.0,20080626,160.0,46.0,99.0,0.0,2.8149803,96.0
39,0.00625,A,37.80638889,-107.77416667,20080623,20080708,8111.0,20080625,178.0,38.0,104.0,0.0,2.6630836,96.0
42,0.0333333333333333,A,37.665,-107.75388889,20130711,20130713,8111.0,20130713,237.0,88.0,119.0,25.0,2.0285249,71.4
47,0.00625,A,37.80638889,-107.77416667,20080623,20080708,8111.0,20080623,139.0,34.0,75.0,0.0,2.4667852000000003,4.0
50,0.0333333333333333,A,37.665,-107.75388889,20130711,20130713,8111.0,20130712,180.0,68.0,113.0,25.0,3.0501506000000003,71.4
