,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0.1,A,39.06166667,-105.03583333,20130803,20130803,8119.0,20130803,163.0,62.0,109.0,102.0,1.3038311000000002,39.154
1,0.35,B,38.6917,-105.1801,20100625,20100626,8119.0,20100626,172.0,58.0,102.0,51.0,2.0652628,65.0
2,0.1,A,38.73111111,-105.26972222,20140625,20140625,8119.0,20140625,159.0,67.0,107.0,0.0,1.9588028,42.733
3,0.0166666666666666,A,38.78861111,-104.98805556,20150715,20150720,8119.0,20150716,153.0,59.0,103.0,0.0,1.3777246,54.933
4,2.01,B,38.97416667,-105.18472222,20120526,20120526,8119.0,20120526,159.0,38.0,104.0,0.0,4.6362505,21.0
5,0.25,A,39.0175,-105.26055556,20120506,20120506,8119.0,20120506,62.0,-27.0,12.0,76.0,3.230142,30.833
6,0.7,B,38.7728,-105.2519,20100623,20100624,8119.0,20100623,171.0,33.0,103.0,0.0,1.6280048,65.0
7,0.9,B,38.9275,-105.30972222,20140620,20140620,8119.0,20140620,189.0,50.0,116.0,51.0,0.13928953,31.25
8,0.7,B,38.7728,-105.2519,20100623,20100624,8119.0,20100624,206.0,71.0,135.0,0.0,3.3786702000000006,65.0
9,0.05,A,39.08333333,-105.09972222,20140625,20140626,8119.0,20140625,159.0,67.0,107.0,0.0,1.9588028,42.733
10,0.1,A,38.90555556,-105.32638889,20140603,20140603,8119.0,20140603,185.0,67.0,129.0,0.0,3.6100638,70.857
11,0.1,A,39.08694444,-105.07638889,20130823,20130823,8119.0,20130823,172.0,81.0,126.0,0.0,1.6916941000000003,30.75
12,0.0166666666666666,A,38.78861111,-104.98805556,20150715,20150720,8119.0,20150718,162.0,77.0,117.0,0.0,1.8027756,54.933
13,0.05,A,39.07055556,-105.27027778,20140530,20140531,8119.0,20140530,95.0,36.0,61.0,0.0,0.22561215,40.375
14,0.1,A,38.885,-105.13055556,20120424,20120424,8119.0,20120424,134.0,47.0,87.0,25.0,3.3733315000000004,35.111
15,0.1,A,39.0688889,-105.085556,20101021,20101021,8119.0,20101021,82.0,14.0,43.0,25.0,2.3602765,35.769
16,0.1,A,38.895,-105.04611111,20140725,20140725,8119.0,20140725,182.0,84.0,125.0,51.0,1.8607851,49.333
17,0.1,A,38.840078,-105.141361,20130424,20130424,8119.0,20130424,16.0,-146.0,-56.0,0.0,1.2519695,44.667
18,0.05,A,39.07055556,-105.27027778,20140530,20140531,8119.0,20140531,146.0,35.0,91.0,0.0,1.0793546,40.375
