,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
1,0.1,A,40.88833333,-104.63555556,20150713,20150713,8123.0,20150713,195.0,45.0,106.0,0.0,0.2236068,118.75
2,29.6,C,40.65916667,-104.59277778,20151013,20151013,8123.0,20151013,169.0,68.0,116.0,0.0,4.0361648,88.0
4,19.1,C,40.68166667,-104.48111111,20150307,20150307,8123.0,20150307,64.0,-126.0,-40.0,0.0,2.795085,80.75
5,0.1,A,40.87805556,-104.62861111,20120526,20120526,8123.0,20120526,186.0,29.0,122.0,0.0,3.9385855,112.5
6,0.2,A,40.88638889,-104.63777778,20120505,20120505,8123.0,20120505,189.0,-11.0,97.0,0.0,2.3120580000000004,78.25
7,1.35,B,40.73944444,-104.49305556,20141102,20141103,8123.0,20141102,104.0,3.0,49.0,25.0,3.3024611000000004,79.25
9,83.0,C,40.73277778,-104.45722222,20120617,20120617,8123.0,20120617,224.0,108.0,175.0,0.0,3.679917,91.375
10,184.5,E,40.75444444,-104.5625,20150927,20150928,8123.0,20150928,185.0,33.0,82.0,0.0,0.20615529,89.25
12,558.0,E,40.68222222,-104.44638889,20151011,20151011,8123.0,20151011,149.0,54.0,99.0,0.0,5.87633,88.0
13,0.1,A,40.88583333,-104.6375,20141101,20141101,8123.0,20141101,113.0,50.0,73.0,25.0,3.5514080000000003,79.25
15,8.1,B,40.76027778,-104.60222222,20130622,20130622,8123.0,20130622,274.0,20.0,129.0,0.0,1.4713908000000002,99.4
17,0.1,A,40.88833333,-104.63555556,20150713,20150713,8123.0,20150713,195.0,45.0,106.0,0.0,0.2236068,118.75
18,462.0,E,40.97972222,-103.73444444,20150314,20150314,8123.0,20150314,86.0,-68.0,35.0,0.0,3.1226990000000003,80.75
19,184.2,D,40.6825,-104.4525,20120303,20120303,8123.0,20120303,-64.0,-170.0,-109.0,152.0,8.0839815,84.0
20,1.35,B,40.73944444,-104.49305556,20141102,20141103,8123.0,20141103,-19.0,-98.0,-42.0,127.0,3.881044,79.25
