,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
464,2.0,B,39.73527778,-121.33638889,6,20080621,20080831,6007.0,20080621,389,222,306,0,0,0
465,1.0,B,39.533339,-121.530711,6,20010808,20010808,6007.0,20010808,411,228,322,0,0,0
466,12.0,C,39.355089,-121.772239,6,20041012,20041012,6007.0,20041012,328,133,233,0,0,0
467,0.1,A,39.790389,-121.5155,6,20041011,20041011,6007.0,20041011,322,133,228,0,0,0
468,787.5,E,39.7778,-121.55247,6,20080621,20080729,6007.0,20080621,389,222,306,0,0,0
469,10.0,C,39.607219,-121.287661,6,20000403,20000404,6007.0,20000403,294,106,200,0,0,0
470,0.2,A,39.512603,-121.361256,6,20060724,20060724,6007.0,20060724,389,222,306,0,0,0
471,0.4,B,39.532589,-121.5476,6,20070618,20070618,6007.0,20070618,389,222,306,0,0,0
472,0.1,A,39.909639,-121.664711,6,20000402,20000402,6007.0,20000402,311,100,206,0,0,0
473,1.0,B,39.813708,-121.603775,6,20070727,20070727,6007.0,20070727,389,222,306,0,0,0
474,1.0,B,39.489844,-121.350058,6,20071123,20071123,6007.0,20071123,389,222,306,0,0,0
475,1.3,B,39.490361,-121.380639,6,20030730,20030730,6007.0,20030730,350,222,289,0,0,0
476,0.1,A,39.836219,-121.612983,6,20060907,20060907,6007.0,20060907,389,222,306,0,0,0
477,1.0,B,39.813708,-121.603775,6,20070727,20070727,6007.0,20070727,389,222,306,0,0,0
478,0.1,A,39.647111,-121.552469,6,20020815,20020822,6007.0,20020815,372,183,278,0,0,0
479,3.0,B,39.547611,-121.53075,6,20020805,20020805,6007.0,20020805,300,144,222,0,0,0
480,0.1,A,39.605069,-121.474339,6,20000329,20000329,6007.0,20000329,222,56,139,0,0,0
481,0.1,A,39.4905,-121.323969,6,19990610,19990610,6007.0,19990610,294,117,206,0,0,0
482,1.0,B,39.592919,-121.306461,6,20020722,20020722,6007.0,20020722,322,167,244,0,0,0
483,0.5,B,39.712481,-121.5406,6,20050913,20050913,6007.0,20050913,389,222,306,0,0,0
484,0.3,B,39.690669,-121.533411,6,19991219,19991219,6007.0,19991219,211,78,144,0,0,0
485,4.0,B,39.70495,-121.702889,6,20020722,20020723,6007.0,20020722,322,167,244,0,0,0
486,0.1,A,39.806769,-121.607969,6,20031128,20031128,6007.0,20031128,128,67,100,13,0,0
487,0.1,A,39.547461,-121.549461,6,20020805,20020805,6007.0,20020805,300,144,222,0,0,0
488,0.1,A,39.849939,-121.588689,6,20041013,20041013,6007.0,20041013,344,167,256,0,0,0
489,0.1,A,39.719339,-121.703031,6,20001016,20001016,6007.0,20001016,261,94,178,0,0,0
490,0.1,A,39.816333,-121.598936,6,20071212,20071212,6007.0,20071212,389,222,306,0,0,0
491,1.0,B,39.813708,-121.603775,6,20070727,20070727,6007.0,20070727,389,222,306,0,0,0
492,0.1,A,39.806769,-121.607969,6,20031128,20031128,6007.0,20031128,128,67,100,13,0,0
493,0.1,A,39.821111,-121.589039,6,20000717,20000717,6007.0,20000717,294,133,217,0,0,0
494,0.1,A,40.17222222,-121.75333333,6,20070710,20070710,6007.0,20070710,389,222,306,0,0,0
495,0.1,A,39.880389,-121.664419,6,19990608,19990608,6007.0,19990608,256,106,183,0,0,0
496,1.0,B,39.663667,-121.533833,6,20070824,20070824,6007.0,20070824,389,222,306,0,0,0
497,0.1,A,39.880389,-121.664419,6,19990608,19990608,6007.0,19990608,256,106,183,0,0,0
498,0.3,B,39.749611,-121.55185,6,20001207,20001207,6007.0,20001207,111,50,83,0,0,0
499,1.5,B,39.74972222,-121.40194444,6,20090802,20090803,6007.0,20090802,389,222,306,0,0,0
500,1.0,B,39.647111,-121.552469,6,20010803,20010803,6007.0,20010803,339,156,250,0,0,0
501,0.1,A,39.531436,-121.538928,6,20070710,20070710,6007.0,20070710,389,222,306,0,0,0
502,0.1,A,39.865389,-121.626469,6,20030928,20030928,6007.0,20030928,317,144,233,0,0,0
503,1.0,B,39.792211,-121.589261,6,19990605,19990605,6007.0,19990605,283,122,206,0,0,0
504,0.1,A,39.565189,-121.552,6,20050907,20050907,6007.0,20050907,389,222,306,0,0,0
505,0.1,A,39.8066,-121.6044,6,20000714,20000714,6007.0,20000714,339,150,244,0,0,0
506,0.1,A,39.490361,-121.380639,6,20000712,20000712,6007.0,20000712,339,167,256,0,0,0
507,2.0,B,39.705269,-121.570431,6,20020811,20020811,6007.0,20020811,383,194,289,0,0,0
508,3.0,B,39.690911,-121.626889,6,20020731,20020731,6007.0,20020731,339,189,267,0,0,0
509,0.1,A,39.642067,-121.528817,6,20050904,20050904,6007.0,20050904,389,222,306,0,0,0
510,100.0,D,39.355089,-121.772239,6,20041011,20041011,6007.0,20041011,322,133,228,0,0,0
511,2.0,B,39.533339,-121.530711,6,20020811,20020811,6007.0,20020811,383,194,289,0,0,0
512,0.1,A,39.821111,-121.589039,6,20001102,20001102,6007.0,20001102,222,78,150,0,0,0
513,0.1,A,39.899867,-121.651147,6,20060720,20060720,6007.0,20060720,389,222,306,0,0,0
514,0.1,A,39.80665,-121.589289,6,20020811,20020811,6007.0,20020811,383,194,289,0,0,0
515,0.1,A,39.534481,-121.286039,6,20001104,20001104,6007.0,20001104,206,67,139,0,0,0
516,60.0,C,39.56666667,-121.18111111,6,20060910,20060915,6007.0,20060910,389,222,306,0,0,0
517,0.1,A,39.786108,-121.658203,6,20071208,20071208,6007.0,20071208,389,222,306,0,0,0
518,0.3,B,39.915322,-121.597958,6,20060517,20060517,6007.0,20060517,389,222,306,0,0,0
519,0.1,A,39.83555,-121.588839,6,20040529,20040529,6007.0,20040529,272,111,194,0,0,0
520,0.3,B,39.520111,-121.267839,6,20020811,20020811,6007.0,20020811,383,194,289,0,0,0
521,100.0,D,39.70495,-121.702889,6,20041011,20041011,6007.0,20041011,322,133,228,0,0,0
522,0.01,A,39.75111111,-121.43444444,6,20070617,20070617,6007.0,20070617,389,222,306,0,0,0
523,0.1,A,39.879581,-121.625911,6,20020728,20020728,6007.0,20020728,339,183,261,0,0,0
524,0.1,A,39.83555,-121.588839,6,19990530,19990530,6007.0,19990530,283,128,206,0,0,0
525,0.1,A,39.749611,-121.55185,6,20031112,20031112,6007.0,20031112,217,89,156,0,0,0
526,0.1,A,39.895131,-121.664311,6,19990501,19990501,6007.0,19990501,261,106,183,0,0,0
527,0.1,A,39.806769,-121.607969,6,20000714,20000714,6007.0,20000714,339,150,244,0,0,0
528,1.0,B,40.16861111,-121.49305556,6,20081014,20081017,6007.0,20081014,389,222,306,0,0,0
529,0.5,B,39.703289,-121.5296,6,20050910,20050910,6007.0,20050910,389,222,306,0,0,0
530,2.0,B,39.8366,-121.6244,6,20030705,20030705,6007.0,20030705,367,189,278,0,0,0
531,2.0,B,39.4905,-121.323969,6,20020215,20020215,6007.0,20020215,139,72,106,3,0,0
532,0.1,A,39.8515,-121.68505,6,19990505,19990505,6007.0,19990505,283,72,178,0,0,0
533,0.2,A,39.866031,-121.684231,6,19990506,19990506,6007.0,19990506,289,122,206,0,0,0
534,0.1,A,39.925469,-121.724111,6,20020726,20020726,6007.0,20020726,350,172,261,0,0,0
535,0.1,A,39.4905,-121.323969,6,20020118,20020118,6007.0,20020118,128,-17,56,0,0,0
536,0.1,A,39.821111,-121.589039,6,20000713,20000713,6007.0,20000713,317,150,233,0,0,0
537,0.1,A,39.850211,-121.607481,6,20010915,20010915,6007.0,20010915,328,172,250,0,0,0
538,0.1,A,39.695658,-121.466111,6,20060225,20060225,6007.0,20060225,389,222,306,0,0,0
539,2.0,B,39.836031,-121.62715,6,20030705,20030705,6007.0,20030705,367,189,278,0,0,0
540,6.0,B,39.6076,-121.5292,6,20050904,20050904,6007.0,20050904,389,222,306,0,0,0
541,0.1,A,39.806769,-121.607969,6,19990507,19990507,6007.0,19990507,250,94,172,0,0,0
542,0.1,A,39.843408,-121.594231,6,20050508,20050508,6007.0,20050508,156,122,139,257,0,0
543,0.1,A,39.647519,-121.495839,6,20000131,20000131,6007.0,20000131,100,78,89,38,0,0
544,0.1,A,39.806769,-121.607969,6,20010806,20010806,6007.0,20010806,361,172,267,0,0,0
545,0.1,A,39.531436,-121.539172,6,20060724,20060724,6007.0,20060724,389,222,306,0,0,0
546,0.1,A,39.716128,-121.521125,6,20071213,20071213,6007.0,20071213,389,222,306,0,0,0
547,0.1,A,39.705169,-121.533311,6,20010821,20010821,6007.0,20010821,289,117,206,0,0,0
548,0.4,B,39.8364,-121.6228,6,20080621,20080623,6007.0,20080621,389,222,306,0,0,0
549,0.1,A,39.850211,-121.607481,6,20000625,20000625,6007.0,20000625,350,172,261,0,0,0
550,2.0,B,39.7631,-121.570539,6,20020908,20020908,6007.0,20020908,294,111,206,0,0,0
551,0.5,B,39.777711,-121.627269,6,20010503,20010503,6007.0,20010503,267,83,178,0,0,0
552,76.0,C,39.605419,-121.530739,6,20020906,20020906,6007.0,20020906,256,139,200,0,0,0
553,0.1,A,39.519489,-121.323711,6,20010502,20010502,6007.0,20010502,256,100,178,0,0,0
554,3.0,B,39.749611,-121.55185,6,19981019,19981019,6007.0,19981019,317,83,200,0,0,0
555,3.0,B,39.490489,-121.3427,6,20010502,20010502,6007.0,20010502,256,100,178,0,0,0
556,0.1,A,39.83555,-121.588839,6,20011007,20011007,6007.0,20011007,250,117,183,0,0,0
557,0.1,A,39.8063,-121.722789,6,19981022,19981022,6007.0,19981022,267,100,183,8,0,0
558,0.1,A,39.801311,-121.5962,6,20050825,20050825,6007.0,20050825,389,222,306,0,0,0
559,0.1,A,39.354961,-121.7901,6,20000612,20000612,6007.0,20000612,311,183,250,0,0,0
560,0.3,B,39.713872,-121.711642,6,20070610,20070610,6007.0,20070610,389,222,306,0,0,0
561,0.1,A,39.912242,-121.601475,6,20070916,20070916,6007.0,20070916,389,222,306,0,0,0
562,0.1,A,39.9199,-121.6128,6,20030831,20030831,6007.0,20030831,356,189,272,0,0,0
563,0.1,A,39.563981,-121.324731,6,20000628,20000628,6007.0,20000628,378,222,300,0,0,0
564,1.0,B,39.719339,-121.703031,6,20000629,20000629,6007.0,20000629,372,206,289,0,0,0
565,0.3,B,39.56235,-121.43665,6,20010425,20010425,6007.0,20010425,300,156,228,0,0,0
566,0.1,A,39.849939,-121.588689,6,20020903,20020903,6007.0,20020903,356,183,272,0,0,0
567,3.0,B,39.491158,-121.312797,6,20050124,20050124,6007.0,20050124,78,22,50,3,0,0
568,3.0,B,39.9948,-121.550389,6,19981103,19981103,6007.0,19981103,183,89,139,0,0,0
569,0.2,A,39.70505,-121.5147,6,20010726,20010726,6007.0,20010726,356,178,267,0,0,0
570,0.5,B,39.83555,-121.588839,6,20041108,20041108,6007.0,20041108,161,89,128,3,0,0
571,1.0,B,39.4987,-121.392044,6,20070812,20070812,6007.0,20070812,389,222,306,0,0,0
572,2030.0,F,39.591,-121.512169,6,20040811,20040813,6007.0,20040811,400,178,289,0,0,0
573,0.5,B,39.578481,-121.3062,6,20010924,20010924,6007.0,20010924,283,139,211,109,0,0
574,0.1,A,39.844569,-121.587169,6,20070929,20070929,6007.0,20070929,389,222,306,0,0,0
575,3.0,B,39.821161,-121.64715,6,20000530,20000602,6007.0,20000530,256,122,189,0,0,0
576,0.1,A,39.864669,-121.60715,6,20020908,20020908,6007.0,20020908,294,111,206,0,0,0
577,0.1,A,39.549231,-121.343131,6,19981016,19981016,6007.0,19981016,222,94,161,0,0,0
578,0.1,A,39.547461,-121.549461,6,20030829,20030829,6007.0,20030829,339,133,239,0,0,0
579,0.1,A,39.791969,-121.685081,6,20010505,20010505,6007.0,20010505,311,117,217,0,0,0
