,Unnamed: 0,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0,1.0,B,38.343117,-120.5754,6,20070618,20070618,6009.0,20070618,0,0,0,0,1.5132742,0
1,1,0.5,B,38.228261,-120.546631,6,20001015,20001015,6009.0,20001015,0,0,0,0,0.39319184,0
2,2,0.1,A,38.403189,-120.550219,6,20040825,20040825,6009.0,20040825,0,0,0,0,2.6575453,0
3,3,1.0,B,38.228469,-120.5281,6,20000825,20000825,6009.0,20000825,0,0,0,0,1.7108148,0
4,4,0.1,A,38.403189,-120.550219,6,20041008,20041008,6009.0,20041008,0,0,0,0,0.46572104,0
5,5,0.1,A,38.403181,-120.512931,6,20020329,20020329,6009.0,20020329,0,0,0,0,0.6499916,0
6,6,135.0,D,37.986317,-120.699094,6,20060719,20060722,6009.0,20060719,0,0,0,0,2.6682248,0
7,7,4.0,B,38.140869,-120.63925,6,19990905,19990905,6009.0,19990905,0,0,0,0,0.47853997,0
8,8,0.1,A,38.142,-120.512969,6,20000722,20000722,6009.0,20000722,0,0,0,0,2.0934384,0
9,9,4.0,B,38.29416667,-120.26027778,6,20060719,20060719,6009.0,20060719,0,0,0,0,2.6682248,0
10,10,0.25,A,38.44666667,-120.07805556,6,20060812,20060812,6009.0,20060812,0,0,0,0,2.457093,0
11,11,2.0,B,37.99615,-120.6046,6,20020722,20020722,6009.0,20020722,0,0,0,0,2.48652,0
12,12,0.1,A,38.243619,-120.750789,6,20030822,20030822,6009.0,20030822,0,0,0,0,1.5182189,0
13,13,0.1,A,38.172911,-120.465025,6,20070817,20070817,6009.0,20070817,0,0,0,0,2.1242714,0
14,14,0.1,A,38.128061,-120.403189,6,19991111,19991111,6009.0,19991111,0,0,0,0,1.7300302,0
15,15,0.1,A,38.43055556,-120.02472222,6,20081016,20081016,6009.0,20081016,0,0,0,0,0.8736656999999999,0
16,16,0.1,A,38.228469,-120.5281,6,20030922,20030922,6009.0,20030922,0,0,0,0,0.9551879,0
17,17,0.1,A,38.403381,-120.531689,6,20000723,20000723,6009.0,20000723,0,0,0,0,2.0711908,0
18,18,0.2,A,38.345611,-120.55085,6,19990724,19990724,6009.0,19990724,0,0,0,0,2.3827112,0
19,19,0.1,A,38.142389,-120.457881,6,19980817,19980817,6009.0,19980817,0,0,0,0,1.7372633000000002,0
20,20,30.0,C,38.155831,-120.565969,6,20001018,20001018,6009.0,20001018,0,0,0,0,1.3688261999999998,0
21,21,1.0,B,38.388081,-120.568319,6,20040324,20040324,6009.0,20040324,0,0,0,0,2.643724,0
22,22,2.0,B,38.039831,-120.659111,6,20000723,20000723,6009.0,20000723,0,0,0,0,2.0711908,0
23,23,0.1,A,38.417481,-120.5126,6,19980819,19980819,6009.0,19980819,0,0,0,0,1.44544,0
24,24,0.1,A,38.172961,-120.459997,6,20071204,20071204,6009.0,20071204,0,0,0,0,1.7778931,0
25,25,1.0,B,38.413967,-120.427633,6,20070628,20070628,6009.0,20070628,0,0,0,0,3.2244253,0
26,26,2.0,B,38.112,-120.806911,6,19991107,19991107,6009.0,19991107,0,0,0,0,3.0675714,0
27,27,0.1,A,38.399953,-120.558781,6,20051119,20051119,6009.0,20051119,0,0,0,0,2.9426796000000004,0
28,28,1.0,B,38.28944444,-120.34638889,6,20080503,20080503,6009.0,20080503,0,0,0,0,2.2924473,0
29,29,4.0,B,38.141261,-120.568469,6,20040430,20040430,6009.0,20040430,0,0,0,0,0.7621614999999999,0
30,30,10.0,C,38.027519,-120.51575,6,20000721,20000721,6009.0,20000721,0,0,0,0,2.4946764,0
31,31,7.0,B,38.190247,-120.62055,6,20070119,20070119,6009.0,20070119,0,0,0,0,4.094009,0
32,32,0.1,A,38.098511,-120.676519,6,19990905,19990905,6009.0,19990905,0,0,0,0,0.47853997,0
33,33,0.1,A,38.257411,-120.694611,6,20020915,20020915,6009.0,20020915,0,0,0,0,1.1257975,0
34,34,0.1,A,38.316969,-120.564989,6,20040826,20040826,6009.0,20040826,0,0,0,0,2.866679,0
35,35,1.0,B,38.069019,-120.567719,6,20030905,20030905,6009.0,20030905,0,0,0,0,1.4932613,0
36,36,0.1,A,38.141589,-120.55,6,19990520,19990520,6009.0,19990520,0,0,0,0,3.3720238,0
37,37,0.1,A,38.33075,-120.605931,6,20030704,20030704,6009.0,20030704,0,0,0,0,2.7920623,0
38,38,0.2,A,38.301461,-120.508931,6,20040526,20040526,6009.0,20040526,0,0,0,0,3.3812532,0
39,39,20.0,C,38.256461,-120.762889,6,20070617,20070618,6009.0,20070617,0,0,0,0,2.4300080000000004,0
40,40,0.1,A,38.417731,-120.549661,6,20020808,20020808,6009.0,20020808,0,0,0,0,0.75,0
41,41,0.1,A,38.417828,-120.521361,6,20070718,20070718,6009.0,20070718,0,0,0,0,2.7754056,0
42,42,11.0,C,38.20166667,-120.36472222,6,20070825,20070825,6009.0,20070825,0,0,0,0,1.5008358,0
43,43,0.1,A,38.445939,-120.493781,6,20000715,20000715,6009.0,20000715,0,0,0,0,2.772602,0
44,44,0.5,B,38.331203,-120.518425,6,20050704,20050704,6009.0,20050704,0,0,0,0,2.604329,0
45,45,0.1,A,38.389458,-120.526008,6,20050731,20050731,6009.0,20050731,0,0,0,0,2.0270424,0
