,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0.1,A,46.43083333,-115.67694444,20150814,20150814,16035.0,20150814,270.0,94.0,194.0,0.0,2.1319005,81.5
2,0.1,A,46.49277778,-115.60972222,20150811,20150811,16035.0,20150811,296.0,157.0,219.0,0.0,0.6619102,81.5
3,2.2285714285714286,D,46.76611111,-115.90416667,20140801,20141009,16035.0,20141005,214.0,44.0,110.0,0.0,2.7613401,12.0
4,0.0166666666666666,B,46.75027778,-115.4575,20140811,20141009,16035.0,20140926,122.0,61.0,81.0,25.0,2.7140021,12.0
6,0.0166666666666666,B,46.75027778,-115.4575,20140811,20141009,16035.0,20140923,251.0,111.0,160.0,0.0,1.8881037,12.0
7,0.0333333333333333,A,46.51444444,-115.60694444,20140801,20140803,16035.0,20140802,254.0,172.0,202.0,0.0,0.90553313,93.0
8,1.0,B,46.84444444,-115.41388889,20150814,20150814,16035.0,20150814,270.0,94.0,194.0,0.0,2.1319005,81.5
9,2.2285714285714286,D,46.76611111,-115.90416667,20140801,20141009,16035.0,20140923,251.0,111.0,160.0,0.0,1.8881037,12.0
10,0.6,B,46.76527778,-115.40444444,20150812,20150812,16035.0,20150812,324.0,175.0,232.0,0.0,0.3881044,81.5
11,0.0158730158730158,B,46.53777778,-115.25666667,20140816,20141219,16035.0,20140923,251.0,111.0,160.0,0.0,1.8881037,12.0
12,0.1,A,46.80083333,-115.155,20150713,20150713,16035.0,20150713,160.0,83.0,114.0,76.0,2.3017657,86.5
14,0.006578947368421,A,46.6225,-114.76111111,20150811,20150917,16035.0,20150826,306.0,140.0,203.0,0.0,1.0612493,78.0
15,0.006578947368421,A,46.6225,-114.76111111,20150811,20150917,16035.0,20150910,211.0,120.0,158.0,0.0,1.1781871000000002,78.0
16,2.245238095238096,B,46.75027778,-115.4575,20140811,20141009,16035.0,20140927,104.0,75.0,84.0,0.0,3.4430803999999995,12.0
17,0.0166666666666666,B,46.75027778,-115.4575,20140811,20141009,16035.0,20140816,160.0,92.0,121.0,0.0,2.3843107000000003,29.4
18,0.0158730158730158,B,46.53777778,-115.25666667,20140816,20141219,16035.0,20140927,104.0,75.0,84.0,0.0,3.4430803999999995,12.0
20,0.3508771929824561,C,46.83861111,-115.30694444,20140814,20141009,16035.0,20140927,104.0,75.0,84.0,0.0,3.4430803999999995,12.0
