,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
1793,0.1,A,38.649819,-120.938639,6,20020508,20020508,6017.0,20020508,144,-35,35,0,2.7862027,172.0
1794,0.1,A,38.705,-120.58722222,6,20080604,20080604,6017.0,20080604,85,25,51,0,5.624105999999999,70.0
1795,0.1,A,38.773411,-120.81115,6,20040416,20040416,6017.0,20040416,61,-36,6,0,2.383996,206.0
1796,0.1,A,38.656375,-120.93945,6,20070317,20070317,6017.0,20070317,175,-13,55,0,1.402458,103.0
1797,2.0,B,38.819739,-121.016911,6,19990916,19990916,6017.0,19990916,220,100,139,0,1.2720076,73.0
1798,0.1,A,38.903689,-120.829639,6,19990911,19990911,6017.0,19990911,200,77,125,0,1.7351105,73.0
1799,1.0,B,38.899903,-120.895897,6,20070318,20070318,6017.0,20070318,130,38,75,0,1.6683165,103.0
1800,0.1,A,38.6917,-120.806531,6,20030911,20030911,6017.0,20030911,123,59,82,0,3.0083168,77.0
1801,1.0,B,38.78815,-120.7918,6,20000804,20000804,6017.0,20000804,207,68,125,0,1.9612242,90.0
1802,0.1,A,38.91916667,-120.05027778,6,19990916,19990916,6017.0,19990916,220,100,139,0,1.2720076,73.0
1803,0.1,A,38.90027778,-119.93444444,6,19990822,19990822,6017.0,19990822,268,47,135,0,2.1217473,81.0
1804,0.1,A,38.692839,-120.993881,6,20010827,20010827,6017.0,20010827,307,32,156,0,4.164735299999999,70.0
1805,0.2,A,38.766953,-120.919117,6,20070529,20070529,6017.0,20070529,177,53,112,0,1.0599045,121.0
1806,0.1,A,38.90515,-120.904839,6,20010614,20010614,6017.0,20010614,192,29,117,0,2.2264826,144.0
1807,0.1,A,38.65805556,-120.29777778,6,20090621,20090621,6017.0,20090621,142,7,77,25,4.971149400000002,127.5
1808,0.25,A,38.87527778,-119.99388889,6,20070914,20070914,6017.0,20070914,157,-29,52,0,2.4000092,94.25
1809,0.1,A,38.641597,-120.850714,6,20060716,20060717,6017.0,20060716,253,74,160,0,2.182891,94.75
1810,0.1,A,38.831389,-120.812411,6,20040415,20040415,6017.0,20040415,80,-12,20,0,3.5362875,206.0
1811,0.1,A,38.88333333,-120.03361111,6,20010615,20010615,6017.0,20010615,204,73,144,0,2.6092353,144.0
1812,0.5,B,38.8328,-120.9497,6,20070529,20070529,6017.0,20070529,177,53,112,0,1.0599045,121.0
1813,0.1,A,38.890531,-120.868369,6,20030520,20030520,6017.0,20030520,214,-32,76,0,3.3256782999999994,182.0
1814,5.0,B,38.905081,-120.9239,6,19990915,19990915,6017.0,19990915,242,-6,97,0,2.041885,73.0
1815,0.3,B,38.80166667,-120.69166667,6,20040912,20040912,6017.0,20040912,187,117,144,0,2.8675516,66.333
1816,0.1,A,38.9275,-120.3925,6,20091004,20091004,6017.0,20091004,51,-43,1,127,4.073389499999998,61.0
1817,0.3,B,38.78361111,-120.20083333,6,20090120,20090120,6017.0,20090120,103,-15,17,0,4.1787305,74.0
1818,0.4,B,38.804861,-120.904881,6,19990912,19990912,6017.0,19990912,215,15,107,0,0.6578710999999999,73.0
1819,0.1,A,38.92777778,-120.16694444,6,20070905,20070905,6017.0,20070905,187,-3,99,0,3.9070098,94.25
1820,0.1,A,38.875289,-120.8311,6,19990913,19990913,6017.0,19990913,240,15,103,0,1.7617381,73.0
1821,0.1,A,38.81805556,-120.27166667,6,20090621,20090621,6017.0,20090621,142,7,77,25,4.971149400000002,127.5
1822,0.1,A,38.90055556,-119.9675,6,20010622,20010622,6017.0,20010622,278,56,167,0,2.9334295,144.0
1823,1.0,B,38.887994,-121.016025,6,20070707,20070707,6017.0,20070707,239,139,187,0,2.9001644,80.0
1824,0.1,A,38.88666667,-120.015,6,19980630,19980630,6017.0,19980630,203,79,136,0,3.7020254,128.0
1825,0.3,B,38.93777778,-119.9825,6,20010821,20010821,6017.0,20010821,234,1,102,0,3.5908885,70.0
1826,0.1,A,38.88583333,-119.96916667,6,20030716,20030716,6017.0,20030716,234,76,162,0,3.3296304,56.0
1827,0.1,A,38.641597,-120.850714,6,20060716,20060717,6017.0,20060716,253,74,160,0,2.182891,94.75
1828,0.1,A,38.6477,-120.731881,6,20000808,20000808,6017.0,20000808,228,87,154,0,3.4419272000000003,81.0
1829,0.01,A,38.88361111,-120.36833333,6,20070805,20070805,6017.0,20070805,176,72,129,0,2.816615,59.0
1830,0.1,A,38.88666667,-120.34833333,6,20040905,20040905,6017.0,20040905,220,95,147,0,0.97416717,68.0
1831,0.1,A,38.88833333,-119.98333333,6,19980706,19980707,6017.0,19980706,241,63,137,0,1.5769861,128.0
1832,80.0,C,38.659525,-120.835322,6,20070706,20070706,6017.0,20070706,272,164,212,0,2.1800997000000004,80.0
1833,0.1,A,39.905,-120.04222222,6,20090627,20090627,6017.0,20090627,250,57,155,0,2.118575,78.75
1834,0.1,A,38.641597,-120.850714,6,20060716,20060717,6017.0,20060716,253,74,160,0,2.182891,94.75
1835,0.1,A,38.76805556,-120.48361111,6,20090626,20090626,6017.0,20090626,210,100,153,0,2.6342797000000004,78.75
1836,0.1,A,38.641597,-120.850714,6,20060716,20060717,6017.0,20060716,253,74,160,0,2.182891,94.75
1837,0.1,A,39.00055556,-120.11888889,6,20020521,20020521,6017.0,20020521,34,-87,-41,25,2.2682407,175.0
1838,0.1,A,38.692931,-120.882181,6,19990905,19990905,6017.0,19990905,251,-3,106,0,1.6415866999999995,80.0
1839,0.1,A,38.641597,-120.850714,6,20060716,20060717,6017.0,20060716,253,74,160,0,2.182891,94.75
1840,0.1,A,38.692425,-120.854511,6,20070325,20070325,6017.0,20070325,137,-6,70,0,1.9719018,103.0
1841,0.1,A,38.672797,-120.87655,6,20060627,20060627,6017.0,20060627,246,124,168,0,1.9799957,77.667
