,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0,0,3160,0.1,A,37.27138889,-119.18222222,6,20060722,20060723,6019.0,20060722,400,239,322,0,1.8013633000000002,99.5
1,1,1,3161,0.1,A,37.41916667,-118.96638889,6,20060626,20060627,6019.0,20060626,400,239,322,0,1.7128348000000002,150.0
2,2,2,3162,0.1,A,37.017075,-119.611833,6,20071214,20071214,6019.0,20071214,400,239,322,0,3.4965434,88.0
3,3,3,3163,0.5,B,37.23583333,-118.99305556,6,20070806,20070807,6019.0,20070806,400,239,322,0,1.9582877,71.0
4,4,4,3164,7456.0,G,36.90361111,-118.80111111,6,20080725,20081212,6019.0,20080725,400,239,322,0,1.7677472,86.5
5,5,5,3165,0.2,A,37.44444444,-119.12,6,20060721,20060721,6019.0,20060721,400,239,322,0,2.2897427,99.5
6,6,6,3166,0.01,A,37.11027778,-119.11416667,6,20070918,20070918,6019.0,20070918,400,239,322,0,1.6278886,50.75
7,7,7,3167,0.33,B,36.79583333,-118.89861111,6,20060709,20060709,6019.0,20060709,400,239,322,0,1.5095992,117.0
8,8,8,3168,0.1,A,36.086761,-120.119919,6,20010703,20010703,6019.0,20010703,433,256,344,0,2.3913379,87.25
9,9,9,3169,0.1,A,37.08611111,-119.21666667,6,20080902,20080902,6019.0,20080902,400,239,322,0,1.224092,64.0
10,10,10,3170,3.0,B,36.1109,-120.5651,6,20050604,20050604,6019.0,20050604,328,144,239,0,2.4283617000000004,117.857
11,11,11,3171,26.0,C,36.0717,-120.316489,6,20030725,20030726,6019.0,20030725,389,233,311,0,1.9197159,92.75
12,12,12,3172,0.2,A,37.27861111,-118.96888889,6,20060719,20060719,6019.0,20060719,400,239,322,0,2.6682248,74.667
13,13,13,3173,0.25,A,35.69333333,-118.00972222,6,20080325,20080325,6019.0,20080325,400,239,322,0,2.220928,91.75
14,14,14,3174,0.1,A,37.0177,-119.57405,6,20000625,20000625,6019.0,20000625,361,189,278,0,2.6618028,120.0
15,15,15,3175,2.0,B,36.1109,-120.5651,6,20050604,20050604,6019.0,20050604,328,144,239,0,2.4283617000000004,117.857
16,16,16,3176,0.1,A,36.1109,-120.5651,6,20050605,20050605,6019.0,20050605,261,133,200,0,3.7171144,117.857
17,17,17,3177,0.1,A,37.325,-118.86694444,6,20080913,20080914,6019.0,20080913,400,239,322,0,0.75000304,62.5
18,18,18,3178,2.0,B,36.216689,-120.453361,6,20030826,20030826,6019.0,20030826,389,228,311,10,1.9516374,75.5
19,19,19,3179,0.1,A,37.29305556,-119.03666667,6,20060721,20060722,6019.0,20060721,400,239,322,0,2.2897427,99.5
