,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
4302,75.0,C,35.176956,-119.540608,6,20050804,20050804,6029.0,20050804,400,244,322,0,1.6507666,0
4303,1223.0,F,35.305144,-118.666681,6,20030616,20030616,6029.0,20030616,361,200,283,0,1.6469398000000002,0
4304,80.0,C,34.92194444,-119.40472222,6,20080516,20080517,6029.0,20080516,400,244,322,0,2.450184,0
4305,0.1,A,35.630908,-118.474353,6,20050717,20050717,6029.0,20050717,417,272,344,0,2.3883934,0
4306,0.3,B,35.131997,-119.452344,6,20010915,20010915,6029.0,20010915,344,172,261,0,1.4800073,0
4307,0.2,A,35.408467,-117.9819,6,20060510,20060510,6029.0,20060510,400,244,322,0,0.98736537,0
4308,5.8,B,35.4794,-119.0512,6,20050711,20050711,6029.0,20050711,344,206,278,0,1.0381708,0
4309,40.0,C,35.168183,-119.534367,6,20050709,20050709,6029.0,20050709,322,194,261,0,2.8539505000000003,0
4310,0.1,A,35.124217,-118.166969,6,20020118,20020118,6029.0,20020118,128,11,72,0,1.4921358,0
4311,0.1,A,35.047531,-119.367011,6,20050624,20050624,6029.0,20050624,322,156,239,0,1.4122376,0
4312,2.0,B,35.285236,-119.574133,6,20050714,20050714,6029.0,20050714,417,244,333,0,2.8236244,0
4313,358.7,E,35.215811,-119.476753,6,20050717,20050717,6029.0,20050717,417,272,344,0,2.3883934,0
4314,312.0,E,35.48194444,-118.71861111,6,20080609,20080609,6029.0,20080609,400,244,322,0,1.1704736,0
4315,0.1,A,35.616494,-118.475592,6,20060518,20060518,6029.0,20060518,400,244,322,0,2.2896354,0
4316,1.0,B,35.471214,-119.022992,6,20050804,20050804,6029.0,20050804,400,244,322,0,1.6507666,0
4317,0.1,A,35.448756,-118.529433,6,20060518,20060518,6029.0,20060518,400,244,322,0,2.2896354,0
4318,0.1,A,35.076708,-119.368208,6,20060510,20060510,6029.0,20060510,400,244,322,0,0.98736537,0
4319,0.2,A,35.665828,-118.29015,6,20060518,20060518,6029.0,20060518,400,244,322,0,2.2896354,0
4320,0.5,B,34.973867,-119.459589,6,20050716,20050716,6029.0,20050716,411,272,344,0,1.767767,0
4321,0.1,A,35.705708,-118.450169,6,20010713,20010713,6029.0,20010713,344,194,272,0,1.3875471,0
4322,1.5,B,35.2141,-119.6201,6,20050710,20050710,6029.0,20050710,317,183,250,0,2.5597858,0
4323,1.0,B,35.210381,-119.446325,6,20060625,20060625,6029.0,20060625,400,244,322,0,1.631967,0
4324,0.5,B,35.038622,-119.368075,6,20011004,20011004,6029.0,20011004,339,194,267,0,2.008234,0
4325,1.1,B,35.222994,-119.612919,6,20050710,20050710,6029.0,20050710,317,183,250,0,2.5597858,0
4326,0.1,A,35.640453,-118.361867,6,20050606,20050606,6029.0,20050606,244,100,172,0,3.6966136,0
4327,25.0,C,35.615731,-119.743414,6,20060510,20060510,6029.0,20060510,400,244,322,0,0.98736537,0
4328,0.1,A,35.777789,-120.186456,6,20050802,20050802,6029.0,20050802,400,244,322,0,2.1653874,0
4329,0.1,A,34.863686,-118.217522,6,20060619,20060619,6029.0,20060619,400,244,322,0,3.021651,0
4330,1.0,B,35.111781,-119.452861,6,20010714,20010714,6029.0,20010714,356,178,267,0,1.6676093,0
4331,0.5,B,35.136503,-119.453458,6,20010914,20010914,6029.0,20010914,333,161,250,0,1.0295709000000002,0
4332,0.1,A,35.609239,-117.696803,6,20050803,20050803,6029.0,20050803,400,244,322,0,1.7582413,0
4333,0.2,A,34.892869,-118.918756,6,20030103,20030103,6029.0,20030103,150,50,100,0,2.7386458,0
4334,4.0,B,35.297731,-119.601817,6,20060518,20060518,6029.0,20060518,400,244,322,0,2.2896354,0
4335,0.1,A,35.530942,-119.080931,6,20011004,20011004,6029.0,20011004,339,194,267,0,2.008234,0
4336,15.0,C,35.46833333,-118.75333333,6,20080611,20080611,6029.0,20080611,400,244,322,0,2.16779,0
4337,50.0,C,34.923,-118.9323,6,20050803,20050803,6029.0,20050803,400,244,322,0,1.7582413,0
4338,0.1,A,35.265997,-119.309644,6,20060619,20060619,6029.0,20060619,400,244,322,0,3.021651,0
4339,0.2,A,35.713842,-118.461058,6,20050710,20050710,6029.0,20050710,317,183,250,0,2.5597858,0
4340,0.1,A,35.709169,-118.421361,6,20060518,20060518,6029.0,20060518,400,244,322,0,2.2896354,0
4341,0.1,A,35.615225,-117.685808,6,20060619,20060619,6029.0,20060619,400,244,322,0,3.021651,0
4342,0.3,A,35.63695,-120.108269,6,20030613,20030613,6029.0,20030613,294,150,222,0,2.59943,0
4343,0.1,A,35.713133,-118.304781,6,20030111,20030111,6029.0,20030111,167,67,117,0,0.3405843,0
4344,0.5,B,35.611628,-118.466669,6,20030613,20030613,6029.0,20030613,294,150,222,0,2.59943,0
4345,1.0,B,35.137344,-119.454194,6,20010915,20010915,6029.0,20010915,344,172,261,0,1.4800073,0
4346,0.1,A,35.42708,-118.01792,6,20080412,20080412,6029.0,20080412,400,244,322,0,2.7577152000000003,0
4347,3.0,B,35.724022,-120.190889,6,20050731,20050731,6029.0,20050731,400,244,322,0,1.5001334,0
4348,0.1,A,35.093197,-118.491714,6,20050804,20050804,6029.0,20050804,400,244,322,0,1.6507666,0
4349,0.1,A,35.383706,-118.412636,6,20060326,20060326,6029.0,20060326,400,244,322,0,0.80056185,0
4350,0.1,A,35.51333333,-118.35694444,6,20080519,20080519,6029.0,20080519,400,244,322,0,2.4233098,0
4351,0.1,A,35.419158,-117.991406,6,20080101,20080101,6029.0,20080101,400,244,322,0,6.1559863,0
4352,0.5,B,35.476158,-119.074142,6,20050714,20050714,6029.0,20050714,417,244,333,0,2.8236244,0
4353,0.1,A,34.85527778,-119.17527778,6,20060618,20060618,6029.0,20060618,400,244,322,0,2.612165,0
4354,2.0,B,35.5716,-118.5009,6,20050804,20050804,6029.0,20050804,400,244,322,0,1.6507666,0
4355,0.1,A,35.050767,-118.355214,6,20020112,20020112,6029.0,20020112,72,50,61,0,0.3883349,0
4356,0.1,A,34.84638889,-119.06805556,6,20080403,20080403,6029.0,20080403,400,244,322,0,3.0576146,0
4357,0.1,A,35.5882,-118.473325,6,20011006,20011006,6029.0,20011006,239,128,183,0,0.62649286,0
4358,2.0,B,35.130278,-119.456186,6,20050605,20050605,6029.0,20050605,278,156,217,0,2.8438196,0
4359,3.0,B,35.484094,-119.056003,6,20060622,20060622,6029.0,20060622,400,244,322,0,1.467792,0
4360,0.1,A,35.708281,-118.452986,6,20050723,20050723,6029.0,20050723,378,244,311,0,1.4322429,0
4361,2.0,B,35.645092,-120.042011,6,20050720,20050720,6029.0,20050720,400,250,328,0,1.4506652,0
4362,0.3,B,35.133214,-119.457369,6,20010710,20010710,6029.0,20010710,356,217,289,0,2.6816766,0
4363,2.0,B,35.164642,-119.502044,6,20060622,20060622,6029.0,20060622,400,244,322,0,1.467792,0
4364,0.3,A,35.153356,-119.515856,6,20050720,20050720,6029.0,20050720,400,250,328,0,1.4506652,0
4365,2.0,B,35.6,-118.13333333,6,20080718,20080721,6029.0,20080718,400,244,322,0,2.4858153,0
4366,3.0,B,35.187553,-119.429003,6,20050720,20050720,6029.0,20050720,400,250,328,0,1.4506652,0
4367,0.1,A,34.863447,-118.230186,6,20050723,20050723,6029.0,20050723,378,244,311,0,1.4322429,0
4368,0.1,A,35.135422,-119.456217,6,20060505,20060505,6029.0,20060505,400,244,322,0,3.8676124,0
4369,0.6,A,35.446364,-118.898058,6,20050723,20050723,6029.0,20050723,378,244,311,0,1.4322429,0
4370,0.1,A,35.396028,-118.217981,6,20050724,20050724,6029.0,20050724,411,261,339,0,1.8439138,0
4371,38.4,C,34.964694,-118.238269,6,20060621,20060621,6029.0,20060621,400,244,322,0,2.0549662,0
4372,3.0,B,34.910461,-118.926581,6,20030601,20030601,6029.0,20030601,350,200,278,0,1.589787,0
4373,0.5,B,35.220947,-119.624617,6,20030514,20030514,6029.0,20030514,283,156,222,0,2.0762498,0
4374,1.0,B,35.311017,-119.705897,6,20060621,20060621,6029.0,20060621,400,244,322,0,2.0549662,0
4375,8.0,B,35.2322,-119.3668,6,20050719,20050719,6029.0,20050719,394,250,322,0,2.4010296,0
4376,5.0,B,35.307061,-119.632464,6,20060621,20060621,6029.0,20060621,400,244,322,0,2.0549662,0
4377,0.3,B,35.7336,-118.0148,6,20050724,20050726,6029.0,20050724,411,261,339,0,1.8439138,0
4378,0.3,B,35.15235,-119.482222,6,20060504,20060504,6029.0,20060504,400,244,322,0,3.2300577,0
4379,8.0,B,35.5152,-118.9993,6,20050714,20050714,6029.0,20050714,417,244,333,0,2.8236244,0
4380,2.0,B,35.007042,-117.839178,6,20060513,20060513,6029.0,20060513,400,244,322,0,2.5973854,0
4381,0.1,A,35.133797,-119.452344,6,20011015,20011015,6029.0,20011015,339,150,244,0,0.7689630000000001,0
4382,0.1,A,35.696122,-117.867894,6,20060430,20060430,6029.0,20060430,400,244,322,0,2.2638464,0
4383,0.1,A,35.556775,-119.080256,6,20060429,20060429,6029.0,20060429,400,244,322,0,1.6227453,0
4384,0.1,A,35.223086,-119.615156,6,20050721,20050721,6029.0,20050721,417,278,350,0,1.9300326,0
4385,20.0,C,35.198539,-118.055281,6,20060502,20060502,6029.0,20060502,400,244,322,0,2.5103476,0
4386,0.1,A,35.626778,-118.474581,6,20060429,20060429,6029.0,20060429,400,244,322,0,1.6227453,0
4387,0.2,A,35.369778,-117.636094,6,20050605,20050605,6029.0,20050605,278,156,217,0,2.8438196,0
4388,0.1,A,35.763533,-118.421536,6,20030523,20030523,6029.0,20030523,383,217,300,0,2.046369,0
4389,8.0,B,35.5511,-118.5097,6,20080118,20080118,6029.0,20080118,400,244,322,0,4.2620206,0
4390,1.0,B,35.137358,-118.321236,6,20050623,20050623,6029.0,20050623,339,183,261,0,1.6374714,0
4391,0.1,A,35.135239,-119.4563,6,20011027,20011027,6029.0,20011027,300,133,217,0,0.77795297,0
4392,1.0,B,35.483811,-119.005319,6,20030526,20030526,6029.0,20030526,306,161,233,0,2.3197584,0
4393,5.0,B,34.899942,-118.244114,6,20060429,20060429,6029.0,20060429,400,244,322,0,1.6227453,0
4394,0.1,A,35.304089,-118.438544,6,20010925,20010925,6029.0,20010925,294,172,233,0,1.4309771999999998,0
4395,1.0,B,35.443922,-119.7953,6,20060428,20060428,6029.0,20060428,400,244,322,0,3.2489023,0
4396,0.1,A,35.188242,-119.566911,6,20030519,20030519,6029.0,20030519,300,133,217,0,1.0987742,0
4397,6.0,B,35.528947,-119.082122,6,20050623,20050623,6029.0,20050623,339,183,261,0,1.6374714,0
4398,0.1,A,35.637339,-120.030194,6,20050720,20050720,6029.0,20050720,400,250,328,0,1.4506652,0
4399,20.0,C,35.163036,-118.456825,6,20030529,20030529,6029.0,20030529,400,206,306,0,1.7102711,0
4400,1.0,B,35.467197,-118.9977,6,20030523,20030523,6029.0,20030523,383,217,300,0,2.046369,0
4401,0.1,A,35.698461,-118.461692,6,20050711,20050711,6029.0,20050711,344,206,278,0,1.0381708,0
4402,0.5,B,35.226692,-119.630136,6,20050725,20050725,6029.0,20050725,383,239,311,0,2.8254097,0
4403,3.0,B,35.721839,-118.683106,6,20011110,20011110,6029.0,20011110,294,100,200,0,0.43416566,0
4404,0.2,A,35.485667,-119.008006,6,20050722,20050722,6029.0,20050722,367,228,300,0,1.6124572,0
4405,0.1,A,35.698972,-118.461381,6,20060426,20060426,6029.0,20060426,400,244,322,0,2.0396097,0
4406,0.3,B,35.666678,-118.276456,6,20011219,20011219,6029.0,20011219,122,28,78,0,1.4461695,0
4407,1.9,B,35.52777778,-118.66111111,6,20070908,20070908,6029.0,20070908,400,244,322,0,1.3410413,0
4408,0.5,B,35.048942,-118.354408,6,20050619,20050619,6029.0,20050619,283,111,200,0,1.2934052,0
4409,0.3,B,35.47611111,-118.71638889,6,20070908,20070908,6029.0,20070908,400,244,322,0,1.3410413,0
4410,0.1,A,35.399169,-117.657517,6,20060415,20060415,6029.0,20060415,400,244,322,0,3.1292994,0
4411,1.4,B,35.70888889,-118.46833333,6,20060509,20060509,6029.0,20060509,400,244,322,0,2.121327,0
4412,0.6,B,34.81916667,-119.08916667,6,20080825,20080826,6029.0,20080825,400,244,322,0,1.3086293,0
4413,2.6,B,35.603678,-118.477192,6,20050619,20050619,6029.0,20050619,283,111,200,0,1.2934052,0
4414,500.0,E,35.249828,-119.340292,6,20050623,20050623,6029.0,20050623,339,183,261,0,1.6374714,0
4415,189.6,D,34.943686,-118.23185,6,20060620,20060620,6029.0,20060620,400,244,322,0,2.4135103,0
4416,73.5,C,35.8569,-119.5787,6,20050712,20050712,6029.0,20050712,383,239,311,0,1.3931305,0
4417,2.0,B,35.430172,-118.520189,6,20030617,20030617,6029.0,20030617,389,233,311,0,1.7307181,0
4418,0.1,A,35.312658,-117.986428,6,20050717,20050717,6029.0,20050717,417,272,344,0,2.3883934,0
4419,0.3,B,35.7497,-117.8192,6,20030814,20030814,6029.0,20030814,367,222,294,0,1.5871055,0
4420,0.1,A,35.5439,-117.7139,6,20060413,20060413,6029.0,20060413,400,244,322,0,0.8089522,0
4421,0.1,A,35.700822,-118.18555,6,20050624,20050624,6029.0,20050624,322,156,239,0,1.4122376,0
4422,5.0,B,35.56472222,-118.61611111,6,20080607,20080607,6029.0,20080607,400,244,322,0,2.5495183,0
4423,40.0,C,35.641406,-120.036967,6,20050624,20050624,6029.0,20050624,322,156,239,0,1.4122376,0
4424,1.0,B,35.480492,-119.013233,6,20050717,20050717,6029.0,20050717,417,272,344,0,2.3883934,0
4425,5.0,B,35.0789,-119.491,6,20050719,20050719,6029.0,20050719,394,250,322,0,2.4010296,0
4426,0.1,A,35.78944444,-118.42944444,6,20060426,20060426,6029.0,20060426,400,244,322,0,2.0396097,0
4427,0.6,B,35.544806,-119.085922,6,20050620,20050620,6029.0,20050620,300,139,222,0,1.3553224,0
4428,0.2,A,35.303331,-118.438511,6,20010925,20010925,6029.0,20010925,294,172,233,0,1.4309771999999998,0
4429,0.1,A,34.869003,-118.158058,6,20060427,20060427,6029.0,20060427,400,244,322,0,2.8304412,0
4430,2.0,B,34.947322,-119.456369,6,20050725,20050725,6029.0,20050725,383,239,311,0,2.8254097,0
4431,2.0,B,34.9514,-118.2029,6,20030602,20030602,6029.0,20030602,372,222,300,0,2.1833332000000003,0
4432,5.0,B,34.936297,-118.231969,6,20050620,20050620,6029.0,20050620,300,139,222,0,1.3553224,0
4433,5.0,B,35.299125,-119.566747,6,20060621,20060621,6029.0,20060621,400,244,322,0,2.0549662,0
4434,1.0,B,35.145314,-119.513247,6,20030603,20030603,6029.0,20030603,400,233,317,0,2.5757318,0
4435,0.1,A,35.13695,-119.473783,6,20030421,20030421,6029.0,20030421,189,89,139,3,3.742135,0
4436,0.1,A,35.178442,-119.542236,6,20050623,20050623,6029.0,20050623,339,183,261,0,1.6374714,0
4437,2.0,B,35.3331,-118.2167,6,20080521,20080521,6029.0,20080521,400,244,322,0,6.4464345000000005,0
4438,0.6,B,35.0983,-119.451,6,20050719,20050719,6029.0,20050719,394,250,322,0,2.4010296,0
4439,19.5,C,35.6677,-118.3773,6,20050623,20050624,6029.0,20050623,339,183,261,0,1.6374714,0
4440,7.5,B,35.778514,-120.193886,6,20060508,20060508,6029.0,20060508,400,244,322,0,2.8839080000000004,0
