,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
5809,1.75,B,40.89916667,-121.22527778,6,20090802,20090802,6035.0,20090802,0,0,0,0,2.7886903,109.0
5810,5.0,B,40.4732,-120.4777,6,20020723,20020724,6035.0,20020723,0,0,0,0,2.8928182,141.0
5811,0.1,A,40.99972222,-121.39972222,6,20090802,20090805,6035.0,20090802,0,0,0,0,2.7886903,109.0
5812,0.1,A,40.488056,-120.615778,6,20050908,20050908,6035.0,20050908,0,0,0,0,1.3990395,117.0
5813,0.2,A,40.0575,-120.0517,6,20050909,20050909,6035.0,20050909,0,0,0,0,5.040073400000002,117.0
5814,0.1,A,40.9832,-121.3261,6,20040814,20040814,6035.0,20040814,0,0,0,0,2.9589493,147.0
5815,0.5,B,41.0003,-120.5503,6,20050909,20050910,6035.0,20050909,0,0,0,0,5.040073400000002,117.0
5816,0.5,B,40.532861,-120.758119,6,20040524,20040524,6035.0,20040524,0,0,0,0,2.443862,173.0
5817,0.2,A,40.4874,-120.5138,6,20040814,20040815,6035.0,20040814,0,0,0,0,2.9589493,147.0
5818,0.1,A,40.7799,-120.5344,6,20020718,20020718,6035.0,20020718,0,0,0,0,1.4001473,141.0
5819,0.1,A,39.9256,-120.0083,6,20090801,20090801,6035.0,20090801,0,0,0,0,0.79428977,109.0
5820,65.3,A,40.9564,-121.1878,6,20090802,20090802,6035.0,20090802,0,0,0,0,2.7886903,109.0
5821,0.1,A,40.6719,-120.5658,6,20070620,20070620,6035.0,20070620,0,0,0,0,3.4568572,173.0
5822,5.0,B,40.9656,-121.2325,6,20090802,20090802,6035.0,20090802,0,0,0,0,2.7886903,109.0
5823,0.6,B,40.8956,-121.0008,6,20090803,20090803,6035.0,20090803,0,0,0,0,2.267706,109.0
5824,35.0,C,40.9594,-121.2561,6,20090802,20090804,6035.0,20090802,0,0,0,0,2.7886903,109.0
5825,0.1,A,40.532461,-120.666769,6,20040521,20040521,6035.0,20040521,0,0,0,0,2.7461445,173.0
5826,0.1,A,41.102889,-120.9038,6,20040814,20040814,6035.0,20040814,0,0,0,0,2.9589493,147.0
5827,0.1,A,40.9622,-121.2,6,20090801,20090802,6035.0,20090801,0,0,0,0,0.79428977,109.0
5828,2.9,B,40.80833333,-121.19944444,6,20070831,20070901,6035.0,20070831,0,0,0,0,3.0680454,136.0
5829,175.0,D,40.68472222,-120.99972222,6,20090802,20090802,6035.0,20090802,0,0,0,0,2.7886903,109.0
5830,51.0,C,40.00657,-120.06604,6,19990605,19990605,6035.0,19990605,0,0,0,0,3.757945,171.0
5831,1.75,B,40.61638889,-120.79972222,6,20090802,20090806,6035.0,20090802,0,0,0,0,2.7886903,109.0
5832,0.1,A,40.329461,-120.671331,6,20020719,20020719,6035.0,20020719,0,0,0,0,1.5062903,141.0
5833,3.2,B,41.1582,-120.4844,6,20040814,20040815,6035.0,20040814,0,0,0,0,2.9589493,147.0
