,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0,0,0,0,0,0,0,0,8193,91.0,C,41.71388889,-121.16333333,6,20070710,20070720,6049.0,20070710,348,120,233,0,1.8911407,77.5
1,1,1,1,1,1,1,1,1,8194,0.5,B,41.7183,-120.2017,6,20060814,20060815,6049.0,20060814,262,61,137,127,3.0327866,98.0
2,2,2,2,2,2,2,2,2,8195,20.0,C,41.62777778,-121.31166667,6,20070311,20070313,6049.0,20070311,144,13,63,0,2.0771115,81.667
3,3,3,3,3,3,3,3,3,8196,0.2,A,41.7672,-120.1683,6,20060814,20060814,6049.0,20060814,262,61,137,127,3.0327866,98.0
4,4,4,4,4,4,4,4,4,8197,0.5,B,41.7375,-121.2275,6,20070710,20070711,6049.0,20070710,348,120,233,0,1.8911407,77.5
5,5,5,5,5,5,5,5,5,8198,0.1,A,41.84888889,-120.65722222,6,20070929,20070929,6049.0,20070929,93,-24,34,51,1.5702786,72.5
6,6,6,6,6,6,6,6,6,8199,8.1,B,41.73527778,-121.22888889,6,20070710,20070716,6049.0,20070710,348,120,233,0,1.8911407,77.5
7,7,7,7,7,7,7,7,7,8200,50.0,C,41.75083333,-121.00222222,6,20060723,20060801,6049.0,20060723,322,129,226,0,1.9220889,111.333
8,8,8,8,8,8,8,8,8,8201,1.5,B,41.6175,-120.25194444,6,20060724,20060725,6049.0,20060724,305,143,204,0,1.3024623,111.333
9,9,9,9,9,9,9,9,9,8202,0.5,B,41.63805556,-121.40583333,6,20070710,20070715,6049.0,20070710,348,120,233,0,1.8911407,77.5
10,10,10,10,10,10,10,10,10,8203,0.1,A,41.825,-120.2889,6,20070901,20070901,6049.0,20070901,253,127,178,0,2.7830415,49.0
11,11,11,11,11,11,11,11,11,8204,0.1,A,41.80138889,-120.31888889,6,20060814,20060814,6049.0,20060814,262,61,137,127,3.0327866,98.0
12,12,12,12,12,12,12,12,12,8205,0.1,A,41.23416667,-120.33611111,6,20070921,20070921,6049.0,20070921,244,74,152,0,1.7851846000000002,74.0
13,13,13,13,13,13,13,13,13,8206,0.1,A,41.321328,-121.114464,6,20070710,20070714,6049.0,20070710,348,120,233,0,1.8911407,77.5
14,14,14,14,14,14,14,14,14,8207,0.5,B,41.48527778,-121.05222222,6,20060626,20060629,6049.0,20060626,295,157,212,0,0.79428977,155.667
15,15,15,15,15,15,15,15,15,8208,0.33,B,41.26861111,-120.28416667,6,20060814,20060814,6049.0,20060814,262,61,137,127,3.0327866,98.0
16,16,16,16,16,16,16,16,16,8209,0.1,A,41.321328,-121.114464,6,20070710,20070711,6049.0,20070710,348,120,233,0,1.8911407,77.5
17,17,17,17,17,17,17,17,17,8210,0.1,A,41.76277778,-121.30083333,6,20070711,20070711,6049.0,20070711,322,122,207,0,2.8270752,77.5
18,18,18,18,18,18,18,18,18,8211,0.3,B,41.7675,-120.85166667,6,20060723,20060724,6049.0,20060723,322,129,226,0,1.9220889,111.333
19,19,19,19,19,19,19,19,19,8212,2.0,B,41.8672,-120.1847,6,20061010,20061010,6049.0,20061010,93,-8,39,0,3.8701158,72.0
20,20,20,20,20,20,20,20,20,8213,0.25,A,41.59694444,-120.33444444,6,20070710,20070711,6049.0,20070710,348,120,233,0,1.8911407,77.5
21,21,21,21,21,21,21,21,21,8214,0.6,A,41.421347,-120.630606,6,20060626,20060626,6049.0,20060626,295,157,212,0,0.79428977,155.667
22,22,22,22,22,22,22,22,22,8215,0.1,A,41.2116,-120.4411,6,20040813,20040813,6049.0,20040813,322,117,218,0,2.304886,69.667
23,23,23,23,23,23,23,23,23,8216,17.0,C,41.537825,-120.457083,6,20060725,20060725,6049.0,20060725,314,116,219,0,0.62650234,111.333
24,24,24,24,24,24,24,24,24,8217,75.0,C,41.32138889,-121.09416667,6,20070710,20070710,6049.0,20070710,348,120,233,0,1.8911407,77.5
25,25,25,25,25,25,25,25,25,8218,0.2,A,41.40055556,-121.48416667,6,20060724,20060725,6049.0,20060724,305,143,204,0,1.3024623,111.333
26,26,26,26,26,26,26,26,26,8219,3.2,A,41.90666667,-120.56583333,6,20070710,20070710,6049.0,20070710,348,120,233,0,1.8911407,77.5
27,27,27,27,27,27,27,27,27,8220,5.0,B,41.3517,-120.7019,6,20060626,20060627,6049.0,20060626,295,157,212,0,0.79428977,155.667
28,28,28,28,28,28,28,28,28,8221,0.25,A,41.49583333,-121.14694444,6,20070531,20070531,6049.0,20070531,260,43,157,0,2.0991464,124.25
29,29,29,29,29,29,29,29,29,8222,500.26,E,41.2335,-120.961811,6,20060626,20060627,6049.0,20060626,295,157,212,0,0.79428977,155.667
30,30,30,30,30,30,30,30,30,8223,0.25,A,41.53555556,-121.10222222,6,20070531,20070601,6049.0,20070531,260,43,157,0,2.0991464,124.25
