,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
681,26.4125,F,36.6964,-113.9906,20050623,20050801,4015.0,20050726,350.0,194.0,272.0,0.0,2.4249554,99.0
682,0.1,A,36.8072,-113.763,20010617,20010617,4015.0,20010617,383.0,150.0,267.0,0.0,2.777376,97.0
687,51.41176470588236,E,36.75,-113.8841,20000720,20000805,4015.0,20000728,389.0,222.0,306.0,0.0,2.4644108,81.0
689,0.05,A,36.8219,-113.6158,20010811,20010812,4015.0,20010812,361.0,267.0,317.0,0.0,3.203901,73.0
692,20.8,D,36.4528,-113.748,20000725,20000729,4015.0,20000726,389.0,244.0,317.0,0.0,3.8665812000000006,81.0
695,0.025,A,36.7666,-113.7341,20000815,20000818,4015.0,20000816,344.0,211.0,278.0,18.0,2.2196426,81.0
696,2283.4444444444443,G,36.3603,-113.7808,20050719,20050727,4015.0,20050719,411.0,261.0,339.0,0.0,3.6865864,105.0
697,0.0333333333333333,A,36.6797,-113.8241,20010812,20010814,4015.0,20010812,361.0,267.0,317.0,0.0,3.203901,73.0
698,0.0166666666666666,A,36.7666,-113.753,20000815,20000820,4015.0,20000817,361.0,178.0,272.0,0.0,2.6459982,81.0
700,1.75,B,36.1889,-113.7227,20040624,20040627,4015.0,20040624,367.0,206.0,289.0,0.0,2.967053,87.0
701,576.3333333333334,G,35.583,-114.5058,20050622,20050730,4015.0,20050718,444.0,222.0,333.0,0.0,1.3292505,105.0
702,0.025,A,36.4039,-113.7636,20010810,20010813,4015.0,20010812,361.0,267.0,317.0,0.0,3.203901,73.0
703,1.5,B,36.7658,-113.8614,19991224,19991225,4015.0,19991225,150.0,-6.0,72.0,0.0,4.6240344,75.0
704,0.1666666666666666,B,36.1361,-113.5861,20040624,20040626,4015.0,20040624,367.0,206.0,289.0,0.0,2.967053,87.0
705,0.025,A,36.5614,-112.9244,20020720,20020723,4015.0,20020721,378.0,228.0,306.0,0.0,3.670827,69.0
706,33.833333333333336,E,35.0667,-113.8841,20020713,20020724,4015.0,20020719,367.0,200.0,283.0,0.0,2.8317628,69.0
707,0.0333333333333333,A,36.6455,-113.5833,20020719,20020721,4015.0,20020720,367.0,239.0,306.0,0.0,3.1898913,69.0
708,0.025,A,36.5166,-113.1674,20000723,20000726,4015.0,20000726,389.0,244.0,317.0,0.0,3.8665812000000006,81.0
710,0.05,A,36.4711,-113.1799,20040627,20040628,4015.0,20040627,361.0,200.0,283.0,0.0,2.5709934,87.0
713,576.3333333333334,G,35.583,-114.5058,20050622,20050730,4015.0,20050729,383.0,200.0,294.0,127.0,3.0599747,99.0
714,51.41176470588236,E,36.75,-113.8841,20000720,20000805,4015.0,20000726,389.0,244.0,317.0,0.0,3.8665812000000006,81.0
715,0.05,A,36.4486,-113.0116,20020719,20020720,4015.0,20020720,367.0,239.0,306.0,0.0,3.1898913,69.0
717,0.025,A,36.4039,-113.7636,20010810,20010813,4015.0,20010811,367.0,222.0,294.0,3.0,2.5066740000000003,73.0
725,0.0222222222222222,A,36.6519,-113.6478,20050721,20050729,4015.0,20050726,350.0,194.0,272.0,0.0,2.4249554,99.0
726,40.0,C,35.2936,-114.0663,20050728,20050729,4015.0,20050729,383.0,200.0,294.0,127.0,3.0599747,99.0
727,0.025,A,36.7666,-113.7341,20000815,20000818,4015.0,20000817,361.0,178.0,272.0,0.0,2.6459982,81.0
728,0.025,A,36.5166,-113.1508,20000723,20000726,4015.0,20000726,389.0,244.0,317.0,0.0,3.8665812000000006,81.0
730,0.025,A,36.7522,-113.6263,20010809,20010812,4015.0,20010812,361.0,267.0,317.0,0.0,3.203901,73.0
731,0.025,A,36.4753,-113.1008,20000723,20000726,4015.0,20000726,389.0,244.0,317.0,0.0,3.8665812000000006,81.0
738,6386.714285714285,G,36.5642,-113.9308,20050721,20050727,4015.0,20050726,350.0,194.0,272.0,0.0,2.4249554,99.0
739,0.025,A,36.81497,-113.62415,20010810,20010813,4015.0,20010812,361.0,267.0,317.0,0.0,3.203901,73.0
740,0.05,A,36.6519,-113.6478,20050729,20050730,4015.0,20050729,383.0,200.0,294.0,127.0,3.0599747,99.0
742,8.571428571428571,C,34.692,-113.6052,20030519,20030525,4015.0,20030524,356.0,156.0,256.0,0.0,2.991725,90.0
743,1.2,B,36.245,-113.4406,20050719,20050723,4015.0,20050719,411.0,261.0,339.0,0.0,3.6865864,105.0
745,0.0166666666666666,A,36.4222,-113.2238,20040815,20040820,4015.0,20040816,339.0,189.0,267.0,0.0,1.807018,80.0
747,0.0333333333333333,A,36.5833,-113.5508,20000815,20000817,4015.0,20000817,361.0,178.0,272.0,0.0,2.6459982,81.0
749,5.333333333333333,C,35.7422,-113.9455,20050719,20050721,4015.0,20050719,411.0,261.0,339.0,0.0,3.6865864,105.0
751,0.025,A,36.1722,-113.4199,20040812,20040815,4015.0,20040813,344.0,211.0,278.0,0.0,2.690727,80.0
753,0.025,A,36.5166,-113.178,20000723,20000726,4015.0,20000726,389.0,244.0,317.0,0.0,3.8665812000000006,81.0
755,0.0333333333333333,A,36.82296,-113.60941,20010811,20010813,4015.0,20010812,361.0,267.0,317.0,0.0,3.203901,73.0
756,0.3333333333333333,B,36.7825,-113.9122,20050813,20050815,4015.0,20050813,361.0,217.0,289.0,0.0,3.895504,97.0
757,0.05,A,36.4333,-113.1008,20000723,20000726,4015.0,20000726,389.0,244.0,317.0,0.0,3.8665812000000006,81.0
758,1187.9666666666667,G,36.5681,-113.7406,20050628,20050727,4015.0,20050726,350.0,194.0,272.0,0.0,2.4249554,99.0
761,0.0416666666666666,A,36.6166,-113.613,20000815,20000820,4015.0,20000817,361.0,178.0,272.0,0.0,2.6459982,81.0
764,15.333333333333334,C,34.5325,-113.2658,20050717,20050719,4015.0,20050718,444.0,222.0,333.0,0.0,1.3292505,105.0
