,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
9300,10.0,C,39.03695,-121.123203,6,20070121,20070121,6057.0,20070121,-1,-74,-46,0,0,76.25
9301,0.1,A,39.365289,-121.124769,6,20040828,20040828,6057.0,20040828,260,74,157,0,0,61.0
9302,0.2,A,39.12345,-121.075389,6,19980809,19980809,6057.0,19980809,232,64,152,0,0,99.75
9303,0.3,B,39.147061,-121.057775,6,20070714,20070714,6057.0,20070714,231,134,169,0,0,85.75
9304,2.0,B,39.235439,-121.009319,6,20021029,20021029,6057.0,20021029,100,-30,19,0,0,63.5
9305,0.1,A,39.30825,-120.973589,6,20021101,20021101,6057.0,20021101,107,-84,-10,0,0,63.5
9306,0.1,A,39.367661,-121.050089,6,20021129,20021129,6057.0,20021129,87,-12,20,0,0,75.0
9307,1.0,B,39.278214,-121.137864,6,20070121,20070121,6057.0,20070121,-1,-74,-46,0,0,76.25
9308,0.8,B,39.293161,-121.104269,6,20000722,20000722,6057.0,20000722,231,86,155,0,0,95.0
9309,0.3,B,39.108511,-121.094569,6,20000710,20000710,6057.0,20000710,219,88,138,0,0,95.0
9310,0.1,A,39.187211,-120.956119,6,20021031,20021031,6057.0,20021031,65,-85,-20,0,0,63.5
9311,0.1,A,39.34694444,-120.3625,6,20090530,20090530,6057.0,20090530,138,83,106,0,0,141.25
9312,3.0,B,39.234169,-121.065511,6,19980815,19980815,6057.0,19980815,237,127,165,0,0,99.75
9313,0.01,A,39.37972222,-120.15888889,6,20090409,20090409,6057.0,20090409,-4,-42,-30,51,0,104.75
9314,0.1,A,39.18505,-121.146061,6,20031023,20031023,6057.0,20031023,123,45,83,0,0,50.75
9315,0.01,A,39.38694444,-120.52583333,6,20090530,20090630,6057.0,20090530,138,83,106,0,0,141.25
9316,1.0,B,39.2365,-120.935119,6,20020708,20020708,6057.0,20020708,245,85,164,0,0,109.75
9317,0.1,A,39.166639,-121.074711,6,20040826,20040826,6057.0,20040826,181,70,113,0,0,61.0
9318,0.1,A,39.31861111,-120.53611111,6,20070715,20070715,6057.0,20070715,241,89,162,0,0,85.75
9319,15.0,C,39.336142,-121.104967,6,20070903,20070903,6057.0,20070903,220,114,162,0,0,67.25
9320,0.1,A,39.336319,-121.086589,6,20021030,20021030,6057.0,20021030,95,-36,16,0,0,63.5
9321,10.0,C,39.247531,-121.140431,6,20000714,20000714,6057.0,20000714,222,78,149,0,0,95.0
9322,0.1,A,39.36194444,-120.79388889,6,20080612,20080612,6057.0,20080612,152,37,93,0,0,123.0
9323,0.1,A,39.277311,-121.085269,6,20000713,20000713,6057.0,20000713,216,97,144,0,0,95.0
9324,0.2,A,39.275272,-121.044967,6,20050807,20050807,6057.0,20050807,259,117,186,0,0,85.5
9325,0.1,A,39.365719,-120.973589,6,19980818,19980818,6057.0,19980818,185,53,102,0,0,99.75
9326,0.1,A,39.3327,-121.178511,6,20000319,20000319,6057.0,20000319,50,-60,15,0,0,82.0
9327,0.1,A,39.276481,-121.141061,6,20021106,20021106,6057.0,20021106,86,12,33,0,0,65.75
9328,3.0,B,39.367269,-121.08775,6,19990424,19990425,6057.0,19990424,114,-23,41,0,0,121.75
9329,1.5,B,39.40333333,-120.89722222,6,20080621,20080621,6057.0,20080621,233,84,153,0,0,108.75
9330,1.0,B,39.215461,-120.936275,6,20070903,20070903,6057.0,20070903,220,114,162,0,0,67.25
9331,4.0,B,39.42555556,-120.15055556,6,20080615,20080616,6057.0,20080615,197,98,137,0,0,108.75
9332,0.05,A,39.35027778,-120.65222222,6,20060720,20060720,6057.0,20060720,274,113,189,0,0,95.5
9333,0.2,A,39.138019,-121.07455,6,19990423,19990423,6057.0,19990423,49,-64,-12,0,0,121.75
9334,0.1,A,39.185639,-121.093761,6,20021106,20021106,6057.0,20021106,86,12,33,0,0,65.75
9335,0.2,A,39.217986,-121.155567,6,20050806,20050806,6057.0,20050806,261,110,190,0,0,85.5
9336,3.0,B,39.187211,-120.956119,6,20021117,20021117,6057.0,20021117,119,-28,21,0,0,65.75
9337,0.1,A,39.365289,-121.124769,6,20000714,20000714,6057.0,20000714,222,78,149,0,0,95.0
9338,15.0,C,39.295669,-120.862469,6,20000401,20000401,6057.0,20000401,95,-27,31,0,0,74.25
9339,1.0,B,39.105039,-121.067397,6,20070715,20070715,6057.0,20070715,241,89,162,0,0,85.75
9340,0.5,B,39.21805,-121.158181,6,19980809,19980809,6057.0,19980809,232,64,152,0,0,99.75
9341,0.4,B,39.394611,-120.954031,6,20020709,20020709,6057.0,20020709,295,141,209,0,0,109.75
