,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0,0,10570,0.1,A,39.89972222,-120.75111111,6,20060811,20060811,6063.0,20060811,0,0,0,0,1.8133978,99
1,1,1,10571,0.25,A,40.14583333,-120.90888889,6,20060709,20060709,6063.0,20060709,0,0,0,0,0.60901606,99
2,2,2,10572,0.9,B,40.185,-120.51861111,6,20091108,20091108,6063.0,20091108,0,0,0,0,1.5692291,94
3,3,3,10573,4.0,B,39.94055556,-120.9075,6,20060812,20060812,6063.0,20060812,0,0,0,0,1.6201488000000002,99
4,4,4,10574,0.2,A,40.35555556,-121.36222222,6,20070628,20070628,6063.0,20070628,0,0,0,0,3.6319876,90
5,5,5,10575,0.01,A,40.25444444,-120.58944444,6,20090528,20090528,6063.0,20090528,0,0,0,0,0.7891748000000001,103
6,6,6,10576,0.25,A,39.93555556,-120.86861111,6,20070428,20070428,6063.0,20070428,0,0,0,0,1.5163405,78
7,7,7,10577,0.25,A,39.93722222,-120.74305556,6,20080817,20080817,6063.0,20080817,0,0,0,0,0.704914,96
8,8,8,10578,0.05,A,39.99916667,-120.37388889,6,20090912,20090913,6063.0,20090912,0,0,0,0,0.6560578,94
9,9,9,10579,0.5,B,39.9425,-120.75888889,6,20080817,20080818,6063.0,20080817,0,0,0,0,0.704914,96
10,10,10,10580,1.1,B,40.00694444,-120.19972222,6,20090912,20090913,6063.0,20090912,0,0,0,0,0.6560578,94
11,11,11,10581,0.1,A,40.30722222,-120.73416667,6,20070711,20070711,6063.0,20070711,0,0,0,0,2.8270752,90
12,12,12,10582,0.1,A,40.23277778,-120.58972222,6,20090528,20090528,6063.0,20090528,0,0,0,0,0.7891748000000001,103
13,13,13,10583,0.2,A,40.1825,-120.91611111,6,20070601,20070601,6063.0,20070601,0,0,0,0,0.3023233,110
14,14,14,10584,1.0,B,40.03027778,-121.19194444,6,20090527,20090527,6063.0,20090527,0,0,0,0,2.1552207,103
15,15,15,10585,0.12,A,39.81194444,-120.49527778,6,20091109,20091109,6063.0,20091109,0,0,0,0,2.305925,94
16,16,16,10586,1.0,B,39.80361111,-120.3775,6,20070716,20070716,6063.0,20070716,0,0,0,0,2.9769933,90
17,17,17,10587,0.1,A,39.96083333,-120.94527778,6,20070702,20070703,6063.0,20070702,0,0,0,0,2.5399573,90
18,18,18,10588,29.0,C,40.16972222,-120.445,6,20060814,20060815,6063.0,20060814,0,0,0,0,3.0327866,99
19,19,19,10589,0.25,A,40.11916667,-120.89972222,6,20070729,20070729,6063.0,20070729,0,0,0,0,2.619647,90
20,20,20,10590,8.75,B,39.78416667,-120.13388889,6,20060622,20060622,6063.0,20060622,0,0,0,0,1.7492824,93
21,21,21,10591,0.1,A,39.95305556,-121.14694444,6,20080830,20080830,6063.0,20080830,0,0,0,0,2.99207,96
22,22,22,10592,0.1,A,39.88444444,-121.06138889,6,20061105,20061105,6063.0,20061105,0,0,0,0,2.0176446,99
23,23,23,10593,0.8,B,39.75527778,-120.59166667,6,20070417,20070417,6063.0,20070417,0,0,0,0,3.6388106,86
24,24,24,10594,0.11,A,40.17805556,-121.10222222,6,20080827,20080827,6063.0,20080827,0,0,0,0,1.7145256000000002,96
25,25,25,10595,0.1,A,40.04444444,-120.26305556,6,20060805,20060806,6063.0,20060805,0,0,0,0,2.3853737999999995,99
26,26,26,10596,0.3,A,39.94222222,-120.6475,6,20070601,20070601,6063.0,20070601,0,0,0,0,0.3023233,110
27,27,27,10597,1.0,B,39.89472222,-120.15666667,6,20070712,20070712,6063.0,20070712,0,0,0,0,2.4700801,90
28,28,28,10598,0.1,A,40.1325,-121.26194444,6,20090615,20090615,6063.0,20090615,0,0,0,0,1.4176733,112
29,29,29,10599,0.1,A,40.03027778,-121.02111111,6,20061101,20061101,6063.0,20061101,0,0,0,0,2.1522937,99
30,30,30,10600,0.1,A,39.80305556,-120.4725,6,20060620,20060620,6063.0,20060620,0,0,0,0,2.7116156000000005,93
31,31,31,10601,0.25,A,39.74277778,-120.61138889,6,20070524,20070524,6063.0,20070524,0,0,0,0,1.6446923,78
32,32,32,10602,0.1,A,39.88833333,-120.3175,6,20090912,20090913,6063.0,20090912,0,0,0,0,0.6560578,94
33,33,33,10603,0.1,A,39.88,-120.77305556,6,20060804,20060805,6063.0,20060804,0,0,0,0,2.2887537,99
34,34,34,10604,0.01,A,40.13944444,-120.3525,6,20090528,20090528,6063.0,20090528,0,0,0,0,0.7891748000000001,103
