,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,0,0,0,0.1,A,33.976008,-116.501361,6,20070616,20070616,6065.0,20070616,406.0,294.0,350.0,0.0,3.7737143,67.077
1,1,1,1,1.0,B,33.735631,-117.266681,6,20031014,20031014,6065.0,20031014,356.0,211.0,283.0,0.0,1.2788277,67.5
2,2,2,2,0.1,A,33.663369,-116.312561,6,19990202,19990202,6065.0,19990202,228.0,50.0,139.0,0.0,4.7569137,60.667
3,3,3,3,0.1,A,33.736739,-116.172839,6,20041202,20041202,6065.0,20041202,178.0,-6.0,89.0,0.0,5.4240656,82.0
4,4,4,4,0.1,A,33.677689,-116.312631,6,19990131,19990131,6065.0,19990131,233.0,-11.0,111.0,0.0,2.1633391,60.667
5,5,5,5,0.1,A,33.825997,-116.218172,6,20070927,20070927,6065.0,20070927,406.0,294.0,350.0,0.0,0.2594164,54.333
6,6,6,6,0.5,B,33.983439,-116.658681,6,19990202,19990202,6065.0,19990202,228.0,50.0,139.0,0.0,4.7569137,60.667
7,7,7,7,0.1,A,33.726419,-116.164136,6,20071124,20071124,6065.0,20071124,406.0,294.0,350.0,0.0,7.091721499999999,51.0
8,8,8,8,0.1,A,33.609214,-114.72725,6,20071128,20071128,6065.0,20071128,406.0,294.0,350.0,0.0,4.766003,51.0
9,9,9,9,0.1,A,33.725,-117.292858,6,20070613,20070613,6065.0,20070613,406.0,294.0,350.0,0.0,2.5124784,67.077
10,10,10,10,0.1,A,34.004697,-116.576333,6,20070928,20070928,6065.0,20070928,406.0,294.0,350.0,0.0,2.6119776000000003,54.333
11,11,11,11,0.1,A,33.663369,-116.312561,6,20050228,20050228,6065.0,20050228,189.0,78.0,133.0,0.0,2.0615528000000003,111.5
12,12,12,12,0.1,A,33.881769,-116.990689,6,20030929,20030929,6065.0,20030929,389.0,239.0,317.0,0.0,1.6007811,67.5
13,13,13,13,0.1,A,33.532781,-116.052569,6,20050313,20050313,6065.0,20050313,161.0,128.0,144.0,0.0,3.0201464,136.0
14,14,14,14,0.1,A,33.751089,-116.2079,6,20041114,20041114,6065.0,20041114,233.0,67.0,150.0,3.0,5.092359,82.0
15,15,15,15,4.0,B,33.663311,-117.284039,6,19990211,19990211,6065.0,19990211,161.0,72.0,117.0,0.0,6.2951684000000006,60.667
16,16,16,16,0.1,A,33.79335,-117.321831,6,19990416,19990416,6065.0,19990416,328.0,89.0,211.0,0.0,4.1860657,66.667
17,17,17,17,1.0,B,33.916317,-116.6142,6,20070616,20070616,6065.0,20070616,406.0,294.0,350.0,0.0,3.7737143,67.077
18,18,18,18,0.1,A,33.612358,-117.260417,6,20070613,20070613,6065.0,20070613,406.0,294.0,350.0,0.0,2.5124784,67.077
19,19,19,19,1.0,B,33.954136,-116.475039,6,20070616,20070616,6065.0,20070616,406.0,294.0,350.0,0.0,3.7737143,67.077
20,20,20,20,0.1,A,33.925169,-117.0768,6,20031107,20031107,6065.0,20031107,222.0,89.0,156.0,0.0,1.0704268,59.0
21,21,21,21,0.1,A,33.69225,-116.4168,6,20031005,20031005,6065.0,20031005,283.0,111.0,200.0,0.0,0.40793088,67.5
22,22,22,22,0.2,A,33.60333333,-117.45,6,19990301,19990301,6065.0,19990301,317.0,44.0,183.0,0.0,2.6627097,66.667
23,23,23,23,0.1,A,33.707661,-116.164125,6,20070930,20070930,6065.0,20070930,406.0,294.0,350.0,0.0,2.903871,54.333
24,24,24,24,0.1,A,33.65138889,-117.41277778,6,20090809,20090809,6065.0,20090809,406.0,294.0,350.0,0.0,0.45694783,88.0
25,25,25,25,1.0,B,33.914094,-116.603142,6,20070616,20070616,6065.0,20070616,406.0,294.0,350.0,0.0,3.7737143,67.077
26,26,26,26,0.1,A,33.70675,-117.2494,6,20031017,20031017,6065.0,20031017,361.0,122.0,244.0,0.0,0.8260661,67.5
27,27,27,27,0.1,A,33.663339,-116.330189,6,19990218,19990218,6065.0,19990218,167.0,72.0,122.0,0.0,0.54148746,66.667
28,28,28,28,0.1,A,33.663369,-116.312561,6,19990215,19990215,6065.0,19990215,278.0,128.0,206.0,0.0,2.8193798,66.667
29,29,29,29,0.1,A,33.736769,-116.207969,6,20041014,20041014,6065.0,20041014,350.0,144.0,250.0,0.0,4.427699,56.0
