FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
14726,0.1,A,32.661481,-116.598631,6,20041211,20041211,6073.0,20041211,239,56,150,0,3.2343326,72.0
14727,3.0,B,32.72138889,-116.55777778,6,19990108,19990109,6073.0,19990108,178,50,117,0,3.375749,0.0
14728,0.3,B,32.657803,-116.45865,6,20050601,20050601,6073.0,20050601,250,89,172,0,3.5756176,89.667
14729,0.1,A,32.680025,-116.501386,6,20070921,20070921,6073.0,20070921,350,189,272,3,1.5865985,49.0
14730,0.5,B,32.714119,-116.456289,6,20050519,20050519,6073.0,20050519,256,139,200,0,3.9385855,106.5
14731,1.0,B,33.235,-116.78333333,6,19990211,19990211,6073.0,19990211,144,61,106,0,7.1848197,0.0
14732,0.2,A,32.86333333,-116.68833333,6,19990328,19990328,6073.0,19990328,233,33,133,0,3.1457427000000004,0.0
14733,0.3,B,33.0,-116.60833333,6,19990212,19990213,6073.0,19990212,206,56,133,0,5.734957,0.0
14734,1.0,B,32.647031,-116.5984,6,19990330,19990330,6073.0,19990330,194,0,100,0,3.5880482,0.0
14735,0.5,B,32.667761,-116.26005,6,20050512,20050512,6073.0,20050512,244,144,194,0,1.459073,150.0
14736,1.0,B,32.6001,-116.8509,6,20041024,20041024,6073.0,20041024,206,122,167,0,1.0878378,50.75
14737,0.1,A,32.71833333,-116.49833333,6,19990213,19990213,6073.0,19990213,206,33,122,0,2.1804776,0.0
14738,0.1,A,32.665169,-116.7801,6,20041011,20041011,6073.0,20041011,217,106,161,0,1.2701627,48.0
14739,0.1,A,33.000519,-116.832631,6,19990104,19990104,6073.0,19990104,250,44,150,0,4.6923356,0.0
14740,1.0,B,32.582103,-116.919242,6,20050607,20050607,6073.0,20050607,228,139,183,0,4.5697417,89.667
14741,0.1,A,32.665169,-116.7801,6,20041011,20041011,6073.0,20041011,217,106,161,0,1.2701627,48.0
14742,1.0,B,32.580222,-116.919044,6,20050512,20050512,6073.0,20050512,244,144,194,0,1.459073,150.0
14743,0.1,A,33.077856,-116.613847,6,20050604,20050604,6073.0,20050604,244,139,194,0,2.907044,89.667
14744,0.1,A,32.593239,-116.531969,6,20041029,20041029,6073.0,20041029,189,94,144,0,1.2949444,50.75
14745,0.2,A,32.82388889,-116.60055556,6,19990114,19990114,6073.0,19990114,194,11,106,0,4.456593,0.0
14746,0.1,A,32.622681,-116.748164,6,20050601,20050601,6073.0,20050601,250,89,172,0,3.5756176,89.667
14747,0.1,A,32.74361111,-116.465,6,19990128,19990128,6073.0,19990128,161,33,100,0,3.978336,0.0
14748,0.5,B,32.666597,-116.488142,6,20050421,20050421,6073.0,20050421,256,6,133,0,1.2037016,150.0
14749,40.0,C,32.575667,-116.786,6,20050521,20050521,6073.0,20050521,283,150,217,0,2.5204914,106.5
14750,0.1,A,32.82333333,-116.61833333,6,19990306,19990306,6073.0,19990306,111,28,72,0,3.0533464,0.0
14751,1.0,B,33.39485,-117.2012,6,19990301,19990301,6073.0,19990301,183,89,139,3,2.8762686,0.0
14752,12.0,C,32.63736,-116.67817,6,20070924,20070925,6073.0,20070924,350,189,272,3,1.9999908,49.0
14753,0.1,A,32.6334,-116.8342,6,19990117,19990117,6073.0,19990117,200,72,139,0,2.5046017000000003,0.0
14754,0.7,B,32.624,-116.6507,6,20070926,20070926,6073.0,20070926,350,189,272,3,1.6446923,49.0
14755,0.1,A,32.825,-116.62333333,6,20070923,20070923,6073.0,20070923,350,189,272,3,2.65994,49.0
14756,10.0,C,32.580003,-116.919044,6,20050504,20050504,6073.0,20050504,228,122,178,0,2.0806067,150.0
14757,0.2,A,32.6001,-116.8342,6,19990117,19990117,6073.0,19990117,200,72,139,0,2.5046017000000003,0.0
14758,2.0,B,32.618,-116.25475,6,20090808,20090808,6073.0,20090808,350,189,272,3,2.8977273,64.333
14759,0.1,A,33.086686,-116.586047,6,20050525,20050525,6073.0,20050525,244,161,206,0,3.2225718,89.667
14760,0.1,A,32.68666667,-116.61166667,6,19990116,19990116,6073.0,19990116,167,78,122,0,3.2460024,0.0
14761,0.1,A,32.6001,-116.8342,6,19990115,19990115,6073.0,19990115,239,67,156,0,0.4429401,0.0
14762,1.0,B,32.636522,-116.165386,6,20050528,20050528,6073.0,20050528,206,167,189,0,2.5355272,89.667
14763,0.1,A,33.203939,-117.024581,6,19990112,19990112,6073.0,19990112,156,106,133,0,3.1283429,0.0
14764,0.1,A,32.601636,-116.600961,6,20070924,20070924,6073.0,20070924,350,189,272,3,1.9999908,49.0
14765,2.0,B,32.582103,-116.919242,6,20050512,20050512,6073.0,20050512,244,144,194,0,1.459073,150.0
14766,3.0,B,33.449411,-117.337828,6,20050205,20050205,6073.0,20050205,183,67,128,0,0.59999084,103.0
14767,12.0,C,32.633936,-116.687367,6,20070924,20070926,6073.0,20070924,350,189,272,3,1.9999908,49.0
14768,60.0,C,32.89194444,-116.43,6,19990225,19990227,6073.0,19990225,172,-17,78,0,3.2387223,0.0
14769,0.1,A,32.721819,-116.8842,6,20041225,20041225,6073.0,20041225,194,33,117,0,1.9616387,94.75
14770,0.1,A,32.632389,-116.234689,6,19990225,19990225,6073.0,19990225,172,-17,78,0,3.2387223,0.0
14771,0.1,A,33.395139,-117.183,6,19990321,19990321,6073.0,19990321,161,67,117,0,3.7598188,0.0
14772,1.0,B,32.566764,-116.908397,6,20050507,20050507,6073.0,20050507,194,117,156,0,4.330106,150.0
14773,5.0,B,32.62125,-116.814139,6,19990115,19990115,6073.0,19990115,239,67,156,0,0.4429401,0.0
14774,15.0,C,33.071919,-116.557419,6,19990301,19990302,6073.0,19990301,183,89,139,3,2.8762686,0.0
14775,4.0,B,32.78166667,-116.39166667,6,19990314,19990314,6073.0,19990314,167,61,117,0,2.0289204,0.0
14776,1.0,B,32.62125,-116.814139,6,19990115,19990116,6073.0,19990115,239,67,156,0,0.4429401,0.0
14777,0.1,A,32.775,-116.64666667,6,19990203,19990203,6073.0,19990203,217,-61,78,0,1.9776814,0.0
14778,0.1,A,33.34611111,-116.88805556,6,20071002,20071002,6073.0,20071002,350,189,272,3,0.5590184,48.333
14779,0.4,B,32.78972222,-116.66666667,6,20090530,20090530,6073.0,20090530,350,189,272,3,3.8324068,97.667
14780,3.0,B,32.69175,-116.902619,6,20040921,20040922,6073.0,20040921,311,139,228,0,4.2540526,51.333
14781,0.1,A,32.5834,-116.8175,6,19990620,19990620,6073.0,19990620,294,83,189,0,2.0689175,0.0
14782,3.0,B,32.560419,-116.901769,6,20040518,20040518,6073.0,20040518,239,117,178,0,3.788257,87.8
14783,0.1,A,32.5667,-116.8342,6,19990620,19990620,6073.0,19990620,294,83,189,0,2.0689175,0.0
14784,2.0,B,33.131269,-116.971769,6,20040531,20040531,6073.0,20040531,333,83,211,0,3.4977777000000003,87.8
14785,0.3,A,32.5667,-116.8092,6,19990620,19990620,6073.0,19990620,294,83,189,0,2.0689175,0.0
14786,0.1,A,33.424669,-117.130019,6,20040605,20040605,6073.0,20040605,333,78,206,0,3.053689,87.8
14787,0.1,A,32.5834,-116.8175,6,19990620,19990620,6073.0,19990620,294,83,189,0,2.0689175,0.0
14788,1.1,B,33.410011,-117.164789,6,20040609,20040609,6073.0,20040609,222,122,172,0,5.420791,87.8
14789,0.1,A,33.0426,-116.575519,6,20040610,20040610,6073.0,20040610,222,111,167,0,3.9840748,87.8
14790,1.0,B,33.395189,-117.165011,6,20040517,20040517,6073.0,20040517,206,156,183,0,2.860497,87.8
14791,0.1,A,32.5834,-116.8175,6,19990620,19990620,6073.0,19990620,294,83,189,0,2.0689175,0.0
14792,0.1,A,32.7046,-116.182639,6,20040612,20040612,6073.0,20040612,222,156,189,0,3.0885773,87.8
14793,0.1,A,32.5667,-116.8092,6,19990620,19990620,6073.0,19990620,294,83,189,0,2.0689175,0.0
14794,22.0,C,32.704569,-116.25125,6,20040616,20040616,6073.0,20040616,261,83,172,0,2.665411,72.6
