FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
15990,0.1,A,40.607406,-122.496061,6,20060618,20060618,6089.0,20060618,394,217,306,0,2.997146,118.5
15991,0.1,A,40.71638889,-121.42388889,6,20070710,20070711,6089.0,20070710,394,217,306,0,1.7219203,72.5
15992,0.5,B,40.497081,-122.360719,6,19980703,19980703,6089.0,19980703,333,161,250,0,4.2174907,0.0
15993,0.1,A,40.920694,-121.546786,6,20071029,20071029,6089.0,20071029,394,217,306,0,0.8645269,86.0
15994,0.4,A,41.000889,-121.359561,6,20040630,20040630,6089.0,20040630,333,189,261,0,3.311037,136.0
15995,4500.0,F,40.9347,-121.5261,6,20090802,20090810,6089.0,20090802,394,217,306,0,3.8513043,129.0
15996,1.0,B,40.4853,-122.4511,6,20070812,20070812,6089.0,20070812,394,217,306,0,2.2537527,49.5
15997,1.0,B,40.496631,-122.53345,6,20011015,20011015,6089.0,20011015,289,83,189,0,1.8123186,0.0
15998,0.5,A,41.145181,-121.456369,6,20040630,20040630,6089.0,20040630,333,189,261,0,3.311037,136.0
15999,1.0,B,41.000269,-121.436219,6,19990611,19990611,6089.0,19990611,333,128,233,0,2.022002,0.0
16000,0.5,B,41.000981,-121.340581,6,19990822,19990822,6089.0,19990822,411,261,339,0,1.9332836,0.0
16001,0.1,A,40.524019,-121.812511,6,20030726,20030726,6089.0,20030726,389,217,306,0,1.6659616000000002,112.0
16002,0.1,A,41.116211,-121.475739,6,20040630,20040630,6089.0,20040630,333,189,261,0,3.311037,136.0
16003,31.0,C,40.5249,-122.5328,6,20040613,20040614,6089.0,20040613,333,150,250,0,2.5882268,136.0
16004,2.0,B,40.7021,-122.365681,6,20010521,20010521,6089.0,20010521,372,206,289,0,3.6474283,0.0
16005,0.25,A,41.14722222,-122.32222222,6,20091017,20091017,6089.0,20091017,394,217,306,0,0.65145427,69.0
16006,0.1,A,40.61888889,-121.4525,6,20090715,20090715,6089.0,20090715,394,217,306,0,0.6319861,136.0
16007,2.0,B,40.63689,-122.45248,6,19990613,19990613,6089.0,19990613,350,156,256,0,2.4666128,0.0
16008,0.1,A,40.55345,-122.475831,6,20000616,20000616,6089.0,20000616,367,261,317,0,4.656361,0.0
