,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
1255,0.1,A,41.968639,-122.430961,19980918,19980918,6093.0,19980918,194.0,33.0,117.0,0.0,2.2265005,107.333
1942,0.1,A,41.983989,-122.35315,19980909,19980909,6093.0,19980909,172.0,100.0,139.0,30.0,2.8178330000000003,107.333
2299,2.0,B,41.771631,-121.887031,19980914,19980914,6093.0,19980914,311.0,83.0,200.0,0.0,0.5703583000000001,107.333
2671,0.1,A,41.24015,-122.248531,19980908,19980908,6093.0,19980908,256.0,122.0,189.0,56.0,1.8904226,107.333
2860,3.333333333333333,C,41.995131,-122.603839,20031023,20031025,6093.0,20031025,228.0,22.0,128.0,0.0,4.1444974000000006,78.333
2861,3.333333333333333,C,41.995131,-122.603839,20031023,20031025,6093.0,20031024,206.0,-17.0,94.0,0.0,2.9334292,78.333
2862,3.333333333333333,C,41.995131,-122.603839,20031023,20031025,6093.0,20031023,200.0,33.0,117.0,0.0,3.5915504,81.667
2879,0.2,A,41.330389,-122.832289,20030905,20030905,6093.0,20030905,300.0,94.0,200.0,25.0,0.68008137,22.0
2882,0.2,A,41.373069,-122.797481,20030904,20030904,6093.0,20030904,328.0,111.0,222.0,0.0,1.7564175,22.0
2889,3.0,B,41.969961,-122.255561,20040324,20040324,6093.0,20040324,150.0,17.0,83.0,0.0,2.4596362000000003,93.0
2899,1.0,B,41.95195,-122.58415,19990713,19990713,6093.0,19990713,344.0,150.0,250.0,0.0,1.9257517,115.0
2904,0.3,A,41.966189,-122.700519,20030904,20030904,6093.0,20030904,328.0,111.0,222.0,0.0,1.7564175,22.0
2907,0.8,B,41.923,-122.564911,19990714,19990714,6093.0,19990714,300.0,117.0,211.0,0.0,2.9881847,115.0
2915,0.1,A,41.47495,-122.925581,20030806,20030806,6093.0,20030806,233.0,89.0,161.0,3.0,2.8391757,19.0
2918,0.5,B,41.865931,-122.564831,20030810,20030810,6093.0,20030810,267.0,106.0,189.0,0.0,2.3300018,19.0
2924,1.25,B,42.00145,-122.161311,20030829,20030901,6093.0,20030901,356.0,117.0,239.0,0.0,1.0394266,103.333
2926,1.25,B,42.00145,-122.161311,20030829,20030901,6093.0,20030831,350.0,117.0,233.0,0.0,0.92649317,103.333
2928,1.0,B,41.9376,-122.5843,19990713,19990713,6093.0,19990713,344.0,150.0,250.0,0.0,1.9257517,115.0
2931,1.35,A,41.793481,-122.586689,20030830,20030830,6093.0,20030830,350.0,106.0,228.0,0.0,0.49335515,103.333
2933,2.3,B,41.6788,-122.848031,20030829,20030829,6093.0,20030829,289.0,89.0,189.0,0.0,2.7819602000000003,103.333
2934,0.25,A,41.945281,-122.121589,20030828,20030828,6093.0,20030828,283.0,83.0,183.0,0.0,2.4056013,103.333
2938,0.3,B,41.661589,-122.756561,20030823,20030823,6093.0,20030823,272.0,78.0,178.0,0.0,0.9861463,118.333
2941,1.0,B,41.9086,-122.564939,20040428,20040428,6093.0,20040428,172.0,33.0,106.0,0.0,4.4070907,93.0
2950,0.2,A,41.765439,-122.642269,19990710,19990710,6093.0,19990710,339.0,117.0,228.0,0.0,2.9161055,115.0
2952,0.1,A,41.95444444,-123.16888889,20040701,20040701,6093.0,20040701,278.0,72.0,178.0,0.0,3.3286676,151.667
2956,1.2000000000000002,A,41.865661,-122.584031,20040701,20040701,6093.0,20040701,278.0,72.0,178.0,0.0,3.3286676,151.667
2959,0.1,A,41.997611,-122.450069,20040629,20040629,6093.0,20040629,272.0,106.0,189.0,0.0,2.342006,151.667
2960,0.1,A,41.829681,-121.92815,20040628,20040628,6093.0,20040628,306.0,139.0,222.0,0.0,2.3347957000000004,151.667
2962,0.1,A,41.815639,-121.967019,20040628,20040628,6093.0,20040628,306.0,139.0,222.0,0.0,2.3347957000000004,151.667
2979,0.2,A,41.880269,-122.5074,20040710,20040710,6093.0,20040710,261.0,78.0,172.0,0.0,2.686505,96.0
2994,0.5,B,41.909719,-122.469319,20040520,20040520,6093.0,20040520,200.0,33.0,117.0,30.0,1.5229548000000002,102.75
2999,0.5,B,41.6614,-122.486261,19980619,19980619,6093.0,19980619,233.0,72.0,156.0,0.0,2.4919484,179.0
3003,0.1,A,41.779089,-122.58305,20040612,20040612,6093.0,20040612,233.0,67.0,150.0,0.0,2.8595273,144.667
3014,0.5,B,41.636431,-122.829089,20040626,20040626,6093.0,20040626,261.0,128.0,194.0,0.0,4.2805743,151.667
3022,0.75,B,41.5745,-122.643311,20020818,20020819,6093.0,20020819,256.0,89.0,172.0,0.0,2.735418,103.333
3037,0.75,B,41.5745,-122.643311,20020818,20020819,6093.0,20020818,339.0,72.0,206.0,0.0,1.6867974,103.333
3040,25.0,C,41.3154,-122.79225,20021107,20021108,6093.0,20021107,83.0,44.0,67.0,861.0,8.037569,74.333
3043,3.0,B,41.589019,-122.505581,19990723,19990723,6093.0,19990723,261.0,56.0,161.0,0.0,3.1699982,104.0
3045,0.2,A,41.530589,-122.409911,20021009,20021009,6093.0,20021009,272.0,11.0,144.0,0.0,0.704901,76.0
3048,0.1,A,41.822869,-122.607839,20020922,20020922,6093.0,20020922,339.0,67.0,206.0,0.0,0.7308205,63.0
3051,0.3,B,41.593239,-122.96495,20020919,20020919,6093.0,20020919,278.0,67.0,172.0,0.0,2.6683218,91.333
3062,25.0,C,41.3154,-122.79225,20021107,20021108,6093.0,20021108,106.0,39.0,72.0,71.0,6.5316544,84.333
3065,0.3,B,41.589019,-122.505581,20020705,20020705,6093.0,20020705,322.0,94.0,211.0,0.0,2.3424053,121.667
3069,0.4,A,41.574469,-122.48645,20020705,20020705,6093.0,20020705,322.0,94.0,211.0,0.0,2.3424053,121.667
3081,1.1,A,41.73405,-122.737531,20020626,20020626,6093.0,20020626,306.0,117.0,211.0,0.0,3.2387223,146.667
3088,0.1,A,41.930811,-122.063631,20020726,20020726,6093.0,20020726,333.0,106.0,222.0,0.0,2.5678039,110.0
3089,0.1,A,41.988261,-121.966711,20020725,20020725,6093.0,20020725,333.0,111.0,222.0,0.0,2.539384,110.0
3090,0.2,A,41.865931,-122.564831,19990728,19990728,6093.0,19990728,278.0,106.0,194.0,0.0,2.5205004,104.0
3091,0.25,B,41.617889,-122.737019,20020722,20020723,6093.0,20020723,289.0,94.0,194.0,0.0,2.7739747,130.0
3093,0.25,B,41.617889,-122.737019,20020722,20020723,6093.0,20020722,339.0,156.0,250.0,3.0,3.4666035,130.0
3095,0.6000000000000001,A,41.719639,-122.757569,20020722,20020722,6093.0,20020722,339.0,156.0,250.0,3.0,3.4666035,130.0
3105,0.55,A,41.718761,-122.253381,20030723,20030723,6093.0,20030723,361.0,178.0,272.0,145.0,2.5880468,133.333
3107,0.1,A,41.55945,-122.272731,20030721,20030721,6093.0,20030721,400.0,161.0,283.0,0.0,1.8139964,133.333
3111,0.1,A,41.501839,-122.583269,20030723,20030723,6093.0,20030723,361.0,178.0,272.0,145.0,2.5880468,133.333
3113,0.1,A,41.851181,-122.583181,20030718,20030718,6093.0,20030718,378.0,133.0,256.0,0.0,2.3020444,133.333
3122,0.2,A,41.851719,-122.469589,20030723,20030723,6093.0,20030723,361.0,178.0,272.0,145.0,2.5880468,133.333
3125,0.1,A,41.646011,-122.428431,20030730,20030730,6093.0,20030730,417.0,161.0,289.0,0.0,1.6617203,127.667
3128,0.05,A,41.973811,-122.141539,20030725,20030726,6093.0,20030726,344.0,133.0,239.0,0.0,1.6659616000000002,127.667
3129,0.2,A,41.73405,-122.737531,20030725,20030725,6093.0,20030725,300.0,156.0,228.0,0.0,2.4507315,127.667
3132,0.05,A,41.973811,-122.141539,20030725,20030726,6093.0,20030725,300.0,156.0,228.0,0.0,2.4507315,127.667
3135,0.8999999999999999,A,41.603231,-122.623689,20030724,20030724,6093.0,20030724,278.0,172.0,228.0,8.0,1.503329,127.667
3137,0.15,A,41.54625,-122.718739,20030723,20030724,6093.0,20030724,278.0,172.0,228.0,8.0,1.503329,127.667
3151,0.1,A,41.959889,-121.891761,20030217,20030217,6093.0,20030217,83.0,-44.0,22.0,0.0,1.4534415,84.0
3154,0.2,A,41.607161,-122.90655,19990721,19990721,6093.0,19990721,244.0,44.0,144.0,0.0,1.9892741000000005,104.0
3155,0.1,A,41.9594,-122.025011,20030514,20030514,6093.0,20030514,256.0,56.0,156.0,0.0,2.970009,99.333
3159,0.2,A,41.851719,-122.469589,20030704,20030704,6093.0,20030704,300.0,61.0,183.0,0.0,2.0083063,18.0
3164,1.0,B,41.7204,-122.699189,20030630,20030630,6093.0,20030630,267.0,94.0,183.0,0.0,2.0436240000000003,141.333
3167,0.1,A,41.516239,-122.390619,20030629,20030629,6093.0,20030629,328.0,139.0,233.0,0.0,2.8483825,141.333
3174,0.1,A,41.815219,-121.928339,20030707,20030707,6093.0,20030707,261.0,100.0,183.0,0.0,2.5642579,120.0
3182,0.8,B,41.647717,-122.398878,20050604,20050604,6093.0,20050604,244.0,61.0,156.0,0.0,2.760891,120.0
3189,0.2,A,41.997961,-122.431078,20050528,20050528,6093.0,20050528,250.0,61.0,156.0,38.0,1.9710234,140.0
3191,0.1,A,41.919661,-122.574186,20050526,20050526,6093.0,20050526,306.0,78.0,194.0,0.0,1.0470896,140.0
3199,0.1,A,41.672675,-122.826908,20050625,20050625,6093.0,20050625,283.0,100.0,194.0,13.0,2.6273417,140.333
3210,0.2,A,41.6278,-122.747636,20050619,20050619,6093.0,20050619,222.0,67.0,144.0,0.0,0.36055598,140.333
3226,2.0,B,41.617981,-122.717381,20041008,20041008,6093.0,20041008,217.0,61.0,139.0,53.0,2.0354156000000003,64.0
3236,7.0,B,41.894669,-122.545589,20041008,20041008,6093.0,20041008,217.0,61.0,139.0,53.0,2.0354156000000003,64.0
3247,0.1,A,41.885108,-122.493297,20050320,20050320,6093.0,20050320,117.0,-6.0,56.0,0.0,7.2040606,118.667
3324,0.1,A,41.788892,-122.587478,20050702,20050702,6093.0,20050702,267.0,106.0,189.0,0.0,2.3396177,144.0
3349,0.05,A,41.995131,-122.603839,20040802,20040803,6093.0,20040803,300.0,94.0,200.0,0.0,2.9094517000000004,80.5
3350,0.05,A,41.995131,-122.603839,20040802,20040803,6093.0,20040802,267.0,72.0,172.0,89.0,3.5802032999999995,117.0
3358,0.2,A,41.5305,-122.390531,20040731,20040731,6093.0,20040731,339.0,128.0,233.0,0.0,2.5317967,117.0
3395,400.0,E,41.851719,-122.469589,20040724,20040724,6093.0,20040724,317.0,117.0,217.0,0.0,2.4865286,117.0
3397,0.4,A,41.735761,-122.641831,20040724,20040724,6093.0,20040724,317.0,117.0,217.0,0.0,2.4865286,117.0
3399,538.0,F,41.953881,-122.450639,20040724,20040728,6093.0,20040724,317.0,117.0,217.0,0.0,2.4865286,117.0
3401,480.0,F,41.953881,-122.450639,20040724,20040728,6093.0,20040725,383.0,150.0,267.0,0.0,2.8239753,117.0
