,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,START_DATE,END_DATE,FIPS,DATE,tmax,tmin,tavg,prcp,aws,fmc
0,1116.8990099009902,G,64.9833333,-153.55,20150621,20150929,2290.0,20150731,141.0,65.0,98.0,0.0,2.0677586,185.0
2,1.8148148148148149,C,66.2269,-144.5228,20150623,20150815,2290.0,20150724,165.0,94.0,122.0,0.0,0.458939,185.0
6,108.26125,G,62.9680833,-159.3673333,20150603,20150821,2290.0,20150712,192.0,75.0,139.0,0.0,1.3308831,185.0
9,217.0998989898989,G,64.342,-158.0266667,20150622,20150928,2290.0,20150731,141.0,65.0,98.0,0.0,2.0677586,185.0
10,2733.0504950495047,G,65.80116239,-153.47007111,20150621,20150929,2290.0,20150718,95.0,69.0,83.0,102.0,4.487343,185.0
12,1.0344827586206895,C,64.3589,-157.7786,20140811,20140908,2290.0,20140821,104.0,51.0,74.0,0.0,0.98883396,166.0
15,1029.381188118812,G,64.6736667,-152.9258334,20150621,20150929,2290.0,20150625,202.0,68.0,144.0,0.0,2.5942245,185.0
17,58.56987951807229,F,65.9316667,-158.1616667,20150620,20150910,2290.0,20150714,148.0,79.0,106.0,203.0,2.7986603,185.0
20,715.1225352112675,G,66.8678,-148.9061,20150621,20150830,2290.0,20150714,148.0,79.0,106.0,203.0,2.7986603,185.0
21,546.1697247706422,G,66.35,-149.87,20150619,20151005,2290.0,20150723,153.0,74.0,114.0,0.0,1.2093387,185.0
24,161.48135593220337,G,63.7521667,-157.9671666,20150624,20150821,2290.0,20150711,193.0,85.0,139.0,0.0,2.0538073,185.0
26,140.6982456140351,G,66.6853,-146.2597,20150620,20150815,2290.0,20150729,129.0,64.0,86.0,102.0,0.9013878,185.0
27,2733.0504950495047,G,65.80116239,-153.47007111,20150621,20150929,2290.0,20150730,135.0,67.0,93.0,0.0,1.175266,185.0
29,581.7846153846153,G,64.261,-158.094,20150622,20150704,2290.0,20150625,202.0,68.0,144.0,0.0,2.5942245,185.0
31,2733.0504950495047,G,65.80116239,-153.47007111,20150621,20150929,2290.0,20150714,148.0,79.0,106.0,203.0,2.7986603,185.0
